,SPY,LQD,HYG,JNK,VCIT,VCSH,USIG,BND,^FTSE,^N225,^STOXX50E,^GDAXI,^FCHI,^HSI,^AXJO
2000-01-03,91.13275146484375,,,,,,,,,,,6750.759765625,5917.3701171875,17369.630859375,
2000-01-04,87.56890106201172,,,,,,,,6665.89990234375,19002.859375,,6586.9501953125,5672.02001953125,17072.8203125,3093.699951171875
2000-01-05,87.7255630493164,,,,,,,,6535.89990234375,18542.55078125,,6502.06982421875,5479.7001953125,15846.7197265625,3018.699951171875
2000-01-06,86.315673828125,,,,,,,,6447.2001953125,18168.26953125,,6474.919921875,5450.10986328125,15153.23046875,2999.300048828125
2000-01-07,91.32855224609375,,,,,,,,6504.7998046875,18193.41015625,,6780.9599609375,5539.60986328125,15405.6298828125,3023.39990234375
2000-01-10,91.64189147949219,,,,,,,,6607.7001953125,,,6925.52001953125,5646.1201171875,15848.150390625,3084.0
2000-01-11,90.54525756835938,,,,,,,,6518.89990234375,18850.919921875,,6891.25,5613.89990234375,15862.099609375,3160.800048828125
2000-01-12,89.6445541381836,,,,,,,,6532.7998046875,18677.419921875,,6912.81005859375,5582.5,15714.2001953125,3088.39990234375
2000-01-13,90.85855865478516,,,,,,,,6531.5,18833.2890625,,6955.97998046875,5633.240234375,15633.9599609375,3078.89990234375
2000-01-14,92.09225463867188,,,,,,,,6658.2001953125,18956.55078125,,7173.22021484375,5787.43994140625,15542.23046875,3115.39990234375
2000-01-17,,,,,,,,,6669.5,19437.23046875,,7258.89990234375,5842.77978515625,15574.5595703125,3121.5
2000-01-18,91.36772155761719,,,,,,,,6504.60009765625,19196.5703125,,7072.1201171875,5672.9501953125,15789.2001953125,3128.0
2000-01-19,92.11182403564453,,,,,,,,6445.5,18897.75,,7091.0400390625,5649.4599609375,15275.33984375,3080.5
2000-01-20,90.70195770263672,,,,,,,,6348.7001953125,19008.009765625,,7112.66015625,5709.740234375,15215.3095703125,3112.5
