symbol,url,status,rows,retrieved_at,response_sha256,provider_symbol,provider_longName,provider_shortName,provider_instrumentType,provider_exchangeName,provider_currency,provider_firstTradeDate,invalid_observations,first_date,last_date,identity_status,detail
XLB,https://query1.finance.yahoo.com/v8/finance/chart/XLB?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:54.894569+00:00,12eafcf998fdfa8436373b3b4822d48f30f3728ba1b5e1e97eb8e057b3985d0f,XLB,State Street Materials Select Sector SPDR ETF,State Street Materials Select S,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLE,https://query1.finance.yahoo.com/v8/finance/chart/XLE?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:54.894569+00:00,1da0f861dabc0a5c093ee89b9b29e0c3296c61b709bf6a2f7e5e97529a5801b0,XLE,State Street Energy Select Sector SPDR ETF,State Street Energy Select Sect,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLF,https://query1.finance.yahoo.com/v8/finance/chart/XLF?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:54.894569+00:00,62b0eb788f8c0fcb41760c88255e56b66b59497a319fdb2fd67a03986a98c27f,XLF,State Street Financial Select Sector SPDR ETF,State Street Financial Select S,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLI,https://query1.finance.yahoo.com/v8/finance/chart/XLI?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:55.370828+00:00,8732c718c8f49c92544ca86a99106cb39c3675db4cd383b715bee0162efa78b8,XLI,State Street Industrial Select Sector SPDR ETF,State Street Industrial Select ,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLK,https://query1.finance.yahoo.com/v8/finance/chart/XLK?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:55.376085+00:00,705d87bbd02691e9d472b08c4f051a4386af5b8a7db19c8489584e17d1536aa2,XLK,State Street Technology Select Sector SPDR ETF,State Street Technology Select ,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLP,https://query1.finance.yahoo.com/v8/finance/chart/XLP?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:55.408056+00:00,99fd1d987d973edf8bf41bb3c5f6ec24802442b9ff6ae71e68f0d3fe9e830d79,XLP,State Street Consumer Staples Select Sector SPDR ETF,State Street Consumer Staples S,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLU,https://query1.finance.yahoo.com/v8/finance/chart/XLU?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:55.657432+00:00,20b4758b6d8fa7de52a09aecb1b42ebe73c15144286274f7818f65adf4357ad4,XLU,State Street Utilities Select Sector SPDR ETF,State Street Utilities Select S,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLV,https://query1.finance.yahoo.com/v8/finance/chart/XLV?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:55.678981+00:00,c65c52a5a9354c7ca6bcb1758b5804294a65500dcef2665f3e346e3edaa21ced,XLV,State Street Health Care Select Sector SPDR ETF,State Street Health Care Select,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
XLY,https://query1.finance.yahoo.com/v8/finance/chart/XLY?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:55.707589+00:00,f2b4513f50a81e92a0d74f9e7fd0ee21367a4e752fbcc7d536720bfa4a5e9727,XLY,State Street Consumer Discretionary Select Sector SPDR ETF,State Street Consumer Discretio,ETF,PCX,USD,914337000.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
A,https://query1.finance.yahoo.com/v8/finance/chart/A?period1=946684800&period2=1735689600&interval=1d&events=div%2Csplits,available,6289,2026-09-10T13:53:56.005216+00:00,f52ff124a6cb87cdac57c23b7975a320976c5911db4ad8a9b25e98c86f736afb,A,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",EQUITY,NYQ,USD,942935400.0,0.0,2000-01-03,2024-12-31,Ticker metadata only; permanent historical identity unverified,
