symbol,status,rows
AABA,no_data,0
AAMRQ,no_data,0
ABC,recovered,4586
ABI,no_data,0
ABKFQ,no_data,0
ABMD,recovered,4586
ABS,no_data,0
ACAS,recovered,4278
ACKH,no_data,0
ACS,no_data,0
ADS,recovered,4220
AET,recovered,4586
AFS-A,no_data,0
AGC,no_data,0
AGN,recovered,4586
AKS,recovered,4586
AL,recovered,1745
ALTR,recovered,4026
ALXN,recovered,4586
AMCC,recovered,4294
ANDV,recovered,162
ANDW,no_data,0
ANRZQ,no_data,0
ANSS,recovered,4586
ANTM,recovered,4129
APC,recovered,4586
APCC,no_data,0
APOL,recovered,4298
ARC,recovered,3307
ARG,recovered,4122
ARNC,recovered,4586
ASN,no_data,0
AT,recovered,2091
ATGE,no_data,0
ATVI,recovered,4585
AV,no_data,0
AVB,recovered,4586
AVP,recovered,4360
AW,no_data,0
AWE,no_data,0
AYE,no_data,0
AZA-A,no_data,0
BBBY,recovered,4423
BCR,recovered,4526
BDK,no_data,0
BFO,no_data,0
BGEN,no_data,0
BGG,recovered,4586
BHGE,recovered,181
BHMSQ,no_data,0
BIG,recovered,4586
BJS,no_data,0
BK,recovered,4586
BLL,recovered,4586
BLS,no_data,0
BMC,no_data,0
BMET,no_data,0
BNI,no_data,0
BOL,no_data,0
BRCM,recovered,4044
BRL,no_data,0
BSC,no_data,0
BTUUQ,no_data,0
BVSN,no_data,0
BXLT,recovered,233
CA,recovered,4586
CAM,recovered,4087
CBE,no_data,0
CBH,no_data,0
CBS,recovered,3097
CBSS,no_data,0
CCE,recovered,4586
CCTYQ,no_data,0
CDAY,no_data,0
CELG,recovered,4585
CEN,no_data,0
CEPH,no_data,0
CERN,recovered,4586
CFC,no_data,0
CFN,recovered,1400
CGP,no_data,0
CHA,no_data,0
CHIR,no_data,0
CHK,recovered,4579
CIN,no_data,0
CIT-A,no_data,0
CITGQ,no_data,0
CMA,recovered,4586
CMCSK,recovered,4012
CMVT,no_data,0
CMX,no_data,0
CNG,no_data,0
CNXT,no_data,0
COC-B,no_data,0
COG,recovered,4586
COL,recovered,4220
COV,recovered,1918
CPGX,recovered,252
CPNLQ,no_data,0
CPQ,no_data,0
CSRA,recovered,584
CTB,recovered,4586
CTL,recovered,4586
CTLT,no_data,0
CTRA,no_data,0
CTX,no_data,0
CTXS,recovered,4586
CVC,recovered,4142
CVG,recovered,4586
CVH,no_data,0
CXO,recovered,2680
DALRQ,no_data,0
DAY,no_data,0
DCNAQ,no_data,0
DDR,recovered,4586
DF,recovered,4586
DFS,recovered,2715
DISCA,recovered,3201
DISCK,recovered,2396
DISH,recovered,4586
DJ,no_data,0
DNB,recovered,4360
DNR,recovered,4586
DO,recovered,4586
DPHIQ,no_data,0
DRE,recovered,4586
DTV,recovered,3084
DWDP,recovered,141
EA,recovered,4586
EDS,no_data,0
EFU,no_data,0
EKDKQ,no_data,0
EMC,recovered,4196
ENDP,recovered,4450
ENRNQ,no_data,0
EOP,no_data,0
EQR,recovered,4586
ESRX,recovered,4586
ESV,recovered,4360
ETFC,recovered,4586
ETS,no_data,0
EVHC,recovered,1162
FB,recovered,1472
FBF,no_data,0
FBHS,recovered,1641
FDC,no_data,0
FDO,recovered,3900
FI,no_data,0
FII,recovered,4586
FJ,no_data,0
FL,recovered,4586
FLIR,recovered,4586
FLT,recovered,1831
FLTWQ,no_data,0
FPC,no_data,0
FRC,recovered,1836
FRX,recovered,3645
FSH,no_data,0
FSL,recovered,1141
FTR,recovered,4360
FWLT,no_data,0
GAPTQ,no_data,0
GAS,recovered,4150
GDT,no_data,0
GDW,no_data,0
GGP,recovered,4586
GLK,no_data,0
GMCR,recovered,4066
GPS,recovered,4586
GPU,no_data,0
GR,no_data,0
GRA,recovered,4586
GTW,no_data,0
GX,no_data,0
HAR,recovered,4324
HBI,recovered,2908
HCBK,recovered,3983
HCP,recovered,4586
HCR,no_data,0
HES,recovered,4586
HET,no_data,0
HFC,recovered,4586
HI,recovered,2517
HM,no_data,0
HMA,no_data,0
HNZ,no_data,0
HOLX,recovered,4586
HOT,recovered,4208
HPC,no_data,0
HRS,recovered,4586
HSH,recovered,3685
HSP,recovered,2855
IAC,no_data,0
IGT,recovered,4586
IKN,no_data,0
IMNX,no_data,0
INCLF,no_data,0
INFO,recovered,205
IPG,recovered,4586
JAVA,no_data,0
JCP,recovered,4586
JEC,recovered,4586
JHF,no_data,0
JNPR,recovered,4586
JNS,recovered,4257
JNY,recovered,3588
JOS,no_data,0
JOY,recovered,3990
JP,no_data,0
JWN,recovered,4586
K,recovered,4586
KATE,no_data,0
KM,no_data,0
KMG,recovered,4586
KORS,recovered,1578
KRB,no_data,0
KRFT,recovered,702
KRI,no_data,0
KSE,no_data,0
KSU,recovered,4586
LDG,no_data,0
LEG,recovered,4586
LEHMQ,no_data,0
LIFE,recovered,501
LLL,recovered,4586
LLTC,recovered,4324
LM,recovered,4586
LO,recovered,1764
LSI,recovered,4360
LVLT,recovered,4487
LXK,recovered,4254
MAY,no_data,0
MDP,recovered,4586
MDR,recovered,4586
MEA,no_data,0
MEDI,no_data,0
MEE,no_data,0
MEL,no_data,0
MER,no_data,0
MERQ,no_data,0
MFE,no_data,0
MHS,no_data,0
MIL,recovered,4054
MJN,recovered,2100
MKG,no_data,0
MMC,recovered,4586
