symbol,supplied,membership_sessions,first_membership_date,last_membership_date,valid_prices_during_membership,eligible_sessions,first_valid_price,last_valid_price,member_at_end,status,identity
A,True,6183,2000-06-05,2024-12-31,6183,6183,2000-01-03,2024-12-31,True,used,historical security identity unresolved
AABA,False,4392,2000-01-03,2017-06-16,0,0,,,False,missing price symbol,historical security identity unresolved
AAL,True,2392,2015-03-23,2024-09-20,2392,2392,2005-09-27,2024-12-31,False,used,historical security identity unresolved
AAMRQ,False,801,2000-01-03,2003-03-13,0,0,,,False,missing price symbol,historical security identity unresolved
AAP,True,2047,2015-07-09,2023-08-24,2047,2047,2001-11-29,2024-12-31,False,used,historical security identity unresolved
AAPL,True,6289,2000-01-03,2024-12-31,6289,6229,2000-01-03,2024-12-31,True,used,historical security identity unresolved
ABBV,True,3020,2013-01-02,2024-12-31,3020,2960,2013-01-02,2024-12-31,True,used,historical security identity unresolved
ABC,True,5533,2001-08-30,2023-08-29,4167,4107,2000-01-03,2018-03-27,False,used,historical security identity unresolved
ABI,False,2237,2000-01-03,2008-11-21,0,0,,,False,missing price symbol,historical security identity unresolved
ABKFQ,False,1883,2000-12-11,2008-06-10,0,0,,,False,missing price symbol,historical security identity unresolved
ABMD,True,1150,2018-05-31,2022-12-21,0,0,2000-01-03,2018-03-27,False,no valid prices during membership,historical security identity unresolved
ABNB,True,325,2023-09-18,2024-12-31,325,325,2020-12-10,2024-12-31,True,used,historical security identity unresolved
ABS,False,1612,2000-01-03,2006-06-01,0,0,,,False,missing price symbol,historical security identity unresolved
ABT,True,6289,2000-01-03,2024-12-31,6289,6229,2000-01-03,2024-12-31,True,used,historical security identity unresolved
ABX,True,638,2000-01-03,2002-07-19,0,0,2020-09-14,2024-12-31,False,no valid prices during membership,historical security identity unresolved
ACAS,True,417,2007-07-09,2009-03-03,417,417,2000-01-03,2017-01-03,False,used,historical security identity unresolved
ACGL,True,544,2022-11-01,2024-12-31,544,544,2000-01-03,2024-12-31,True,used,historical security identity unresolved
ACKH,False,223,2000-01-03,2000-11-16,0,0,,,False,missing price symbol,historical security identity unresolved
ACN,True,3395,2011-07-06,2024-12-31,3395,3395,2001-07-19,2024-12-31,True,used,historical security identity unresolved
ACS,False,1472,2004-04-02,2010-02-05,0,0,,,False,missing price symbol,historical security identity unresolved
ACV,True,1730,2000-01-03,2006-11-16,0,0,2015-05-21,2024-12-31,False,no valid prices during membership,historical security identity unresolved
