model,reference,block_sessions,draws,ap_difference,lower95,upper95
combined,market,20,500,0.0023349805774080246,-0.011946419598477732,0.017685821785677708
combined_correlation,market_correlation,20,500,0.005436162093783725,-0.0015219729269498128,0.015328776154441982
combined,VIX,20,500,-0.03938090541090483,-0.07321118270748311,-0.003730694998710429
topology,VIX,20,500,-0.16851476803402263,-0.3511119409183645,-0.028208884620933933
scale_080,market,20,500,0.0043624105428439475,-0.009017460848506412,0.027985824470395996
scale_090,market,20,500,0.0035796062884757562,-0.014011358466575445,0.026226458320291076
scale_100,market,20,500,-0.003453144087214338,-0.009474679712988513,0.001697759376585735
scale_110,market,20,500,-0.0011779854793065592,-0.0262253723407616,0.03034362993006304
combined,market,60,500,0.0023349805774080246,-0.011505254547497719,0.010378373104131488
combined_correlation,market_correlation,60,500,0.005436162093783725,-0.0014752985701828542,0.013054922248585359
combined,VIX,60,500,-0.03938090541090483,-0.06838831580157866,0.0015120525398181035
topology,VIX,60,500,-0.16851476803402263,-0.3216323591004718,-0.0020481835032029154
scale_080,market,60,500,0.0043624105428439475,-0.008426220114241583,0.018652644225843163
scale_090,market,60,500,0.0035796062884757562,-0.011640047145324137,0.020132984225966787
scale_100,market,60,500,-0.003453144087214338,-0.007842659539608755,0.0018865754763441403
scale_110,market,60,500,-0.0011779854793065592,-0.025784801147592903,0.021762848178726833
combined,market,120,500,0.0023349805774080246,-0.008928714820131002,0.01007753015990967
combined_correlation,market_correlation,120,500,0.005436162093783725,-0.0018866286120932196,0.012241212841489374
combined,VIX,120,500,-0.03938090541090483,-0.06139263640231276,0.00496369237780716
topology,VIX,120,500,-0.16851476803402263,-0.31644128730807297,0.011729528272272546
scale_080,market,120,500,0.0043624105428439475,-0.008463594849278592,0.02054525152198584
scale_090,market,120,500,0.0035796062884757562,-0.010427159835166644,0.023544449634756628
scale_100,market,120,500,-0.003453144087214338,-0.007186977880500418,0.0020882655637811005
scale_110,market,120,500,-0.0011779854793065592,-0.024085405439681393,0.022928267796487836
