model,budget,events,detected,median_lead_when_detected,event_recall
VIX,0.01,6,4,17.5,0.6666666666666666
VIX,0.05,6,6,13.0,1.0
VIX,0.1,6,6,13.5,1.0
combined,0.01,6,4,16.5,0.6666666666666666
combined,0.05,6,5,14.0,0.8333333333333334
combined,0.1,6,6,13.5,1.0
combined_correlation,0.01,6,3,18.0,0.5
combined_correlation,0.05,6,4,13.0,0.6666666666666666
combined_correlation,0.1,6,6,10.5,1.0
market,0.01,6,4,17.0,0.6666666666666666
market,0.05,6,6,12.0,1.0
market,0.1,6,6,12.5,1.0
market_correlation,0.01,6,3,18.0,0.5
market_correlation,0.05,6,4,13.0,0.6666666666666666
market_correlation,0.1,6,6,5.0,1.0
scale_080,0.01,6,4,16.5,0.6666666666666666
scale_080,0.05,6,5,15.0,0.8333333333333334
scale_080,0.1,6,6,12.5,1.0
scale_090,0.01,6,4,18.5,0.6666666666666666
scale_090,0.05,6,5,18.0,0.8333333333333334
scale_090,0.1,6,6,10.5,1.0
scale_100,0.01,6,3,20.0,0.5
scale_100,0.05,6,5,15.0,0.8333333333333334
scale_100,0.1,6,6,12.5,1.0
scale_110,0.01,6,1,19.0,0.16666666666666666
scale_110,0.05,6,3,1.0,0.5
scale_110,0.1,6,4,1.5,0.6666666666666666
topology,0.01,6,3,13.0,0.5
topology,0.05,6,3,13.0,0.5
topology,0.1,6,3,15.0,0.5
