model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes
VIX,0.01,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,350,68,129,0.0811500115928588,0.34517766497461927,0.16267942583732056,0.09268292682926829,53,48
VIX,0.05,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73
VIX,0.1,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,1019,118,79,0.2362624623232089,0.5989847715736041,0.10378188214599825,0.25210643015521067,95,86
combined,0.01,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,331,58,139,0.07674472524924647,0.29441624365482233,0.14910025706940874,0.08625277161862528,57,50
combined,0.05,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,579,70,127,0.13424530489218642,0.3553299492385787,0.10785824345146379,0.14390243902439023,74,67
combined,0.1,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,828,99,98,0.19197774171110596,0.5025380710659898,0.10679611650485436,0.20554323725055432,73,63
combined_correlation,0.01,4510,197,0.04368070953436807,0.7424831785853417,0.1532708109005228,305,52,145,0.07071643867377696,0.2639593908629442,0.14565826330532214,0.07915742793791575,47,43
combined_correlation,0.05,4510,197,0.04368070953436807,0.7424831785853417,0.1532708109005228,537,65,132,0.12450730350104336,0.3299492385786802,0.1079734219269103,0.13348115299334812,63,57
combined_correlation,0.1,4510,197,0.04368070953436807,0.7424831785853417,0.1532708109005228,795,99,98,0.18432645490377927,0.5025380710659898,0.11073825503355705,0.1982261640798226,102,88
market,0.01,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,446,62,135,0.10340830048690007,0.3147208121827411,0.1220472440944882,0.11263858093126386,45,40
market,0.05,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,667,81,116,0.1546487363783909,0.41116751269035534,0.10828877005347594,0.16585365853658537,53,47
market,0.1,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,902,115,82,0.2091351727335961,0.583756345177665,0.11307767944936087,0.22549889135254989,64,50
market_correlation,0.01,4510,197,0.04368070953436807,0.7407318918957091,0.14783464880673908,312,54,143,0.07233943890563413,0.27411167512690354,0.14754098360655737,0.0811529933481153,43,39
market_correlation,0.05,4510,197,0.04368070953436807,0.7407318918957091,0.14783464880673908,534,66,131,0.12381173197310456,0.3350253807106599,0.11,0.13303769401330376,63,58
market_correlation,0.1,4510,197,0.04368070953436807,0.7407318918957091,0.14783464880673908,781,95,102,0.18108045444006493,0.48223350253807107,0.10844748858447488,0.1942350332594235,77,69
scale_080,0.01,4510,197,0.04368070953436807,0.7638352236950972,0.18248834256419694,452,66,131,0.10479944354277765,0.3350253807106599,0.1274131274131274,0.11485587583148558,47,43
scale_080,0.05,4510,197,0.04368070953436807,0.7638352236950972,0.18248834256419694,669,86,111,0.1551124507303501,0.4365482233502538,0.11390728476821192,0.1674057649667406,62,54
scale_080,0.1,4510,197,0.04368070953436807,0.7638352236950972,0.18248834256419694,934,127,70,0.2165546023649432,0.6446700507614214,0.11969839773798303,0.2352549889135255,65,55
scale_090,0.01,4510,197,0.04368070953436807,0.7494130011851786,0.18170553830982875,454,68,129,0.10526315789473684,0.34517766497461927,0.13026819923371646,0.11574279379157427,54,47
scale_090,0.05,4510,197,0.04368070953436807,0.7494130011851786,0.18170553830982875,640,89,108,0.14838859262694182,0.4517766497461929,0.12208504801097393,0.1616407982261641,56,47
scale_090,0.1,4510,197,0.04368070953436807,0.7494130011851786,0.18170553830982875,870,126,71,0.20171574310224902,0.6395939086294417,0.12650602409638553,0.22084257206208427,68,57
scale_100,0.01,4510,197,0.04368070953436807,0.7656182877641788,0.17467278793413865,455,62,135,0.10549501507071644,0.3147208121827411,0.11992263056092843,0.11463414634146342,37,29
scale_100,0.05,4510,197,0.04368070953436807,0.7656182877641788,0.17467278793413865,683,82,115,0.15835845119406447,0.41624365482233505,0.10718954248366012,0.1696230598669623,61,53
scale_100,0.1,4510,197,0.04368070953436807,0.7656182877641788,0.17467278793413865,923,119,78,0.21400417342916764,0.6040609137055838,0.11420345489443379,0.23104212860310422,61,48
scale_110,0.01,4510,197,0.04368070953436807,0.7013750189781571,0.17694794654204643,272,52,145,0.06306515186645027,0.2639593908629442,0.16049382716049382,0.07184035476718403,45,41
scale_110,0.05,4510,197,0.04368070953436807,0.7013750189781571,0.17694794654204643,494,58,139,0.1145374449339207,0.29441624365482233,0.10507246376811594,0.12239467849223946,69,66
scale_110,0.1,4510,197,0.04368070953436807,0.7013750189781571,0.17694794654204643,718,93,104,0.16647345235335034,0.4720812182741117,0.11467324290998766,0.17982261640798225,74,68
topology,0.01,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,289,22,175,0.06700672385810341,0.1116751269035533,0.0707395498392283,0.06895787139689578,107,90
topology,0.05,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,544,72,125,0.12613030373290054,0.36548223350253806,0.11688311688311688,0.13658536585365855,146,122
topology,0.1,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,800,94,103,0.18548574078367724,0.47715736040609136,0.10514541387024609,0.1982261640798226,172,159
