year,scale_index,epsilon,shrunk_correlation_threshold,C,inner_ap
2007,90,0.9045226130653267,0.5909194212267367,0.01,0.023008115081290532
2008,80,0.8040201005025126,0.6767758389939648,0.01,
2009,80,0.8040201005025126,0.6767758389939648,0.01,
2010,90,0.9045226130653267,0.5909194212267367,0.01,0.4043851406360113
2011,110,1.105527638190955,0.38890432059796454,1.0,0.3231961986870562
2012,110,1.105527638190955,0.38890432059796454,1.0,0.3048349147465772
2013,110,1.105527638190955,0.38890432059796454,1.0,0.2679783881499326
2014,80,0.8040201005025126,0.6767758389939648,0.01,0.24029057160233103
2015,80,0.8040201005025126,0.6767758389939648,0.01,0.2713379091395507
2016,110,1.105527638190955,0.38890432059796454,0.01,0.28375033354057494
2017,110,1.105527638190955,0.38890432059796454,0.01,0.2631759731994694
2018,110,1.105527638190955,0.38890432059796454,0.01,0.2586696487219885
2019,100,1.0050251256281406,0.49496224842807013,0.01,0.25583990754477726
2020,100,1.0050251256281406,0.49496224842807013,0.01,0.26394414778103326
2021,100,1.0050251256281406,0.49496224842807013,0.01,0.2599307720901905
2022,100,1.0050251256281406,0.49496224842807013,1.0,0.11365161259954107
2023,100,1.0050251256281406,0.49496224842807013,1.0,0.062229216720180704
2024,100,1.0050251256281406,0.49496224842807013,1.0,0.06448928084481141
