target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model
loss10,topology_rf,topology,20,500,0.0514473402983417,-0.0006215580183733229,0.1613151846618714,False,-0.008245869273110126,0.18106375557556967,0.972
loss10,market_rf,market,20,500,-0.10349213580655292,-0.24791773099901795,-0.020475833145651753,False,-0.27582146290940085,-0.01530621273941324,0.0
loss10,combined_rf,market_rf,20,500,0.022713584506232842,-0.005662589789509831,0.06508171000873435,False,-0.0069991754234747655,0.0687043994368841,0.95
loss10,topology_lasso,topology,20,500,0.024386905003937275,-0.01355305404109986,0.07990007593210385,False,-0.0226220552947711,0.0899317734651498,0.898
loss10,market_lasso,market,20,500,-0.0938695436044272,-0.23118433606159297,-0.008111815515840231,False,-0.2606407940203199,-0.0022946120570117067,0.01
loss10,combined_lasso,market_lasso,20,500,-0.004720404057284716,-0.017320700707785814,0.004259098884313875,False,-0.019520490729728803,0.005119646691306836,0.226
loss10,topology_rf,topology,60,500,0.0514473402983417,-0.007163447853491981,0.18263063130130683,False,-0.015548214968508497,0.20137831092539607,0.948
loss10,market_rf,market,60,500,-0.10349213580655292,-0.22962227452647244,-0.009038217071215451,False,-0.2469423817624125,-0.0062393118380898015,0.002
loss10,combined_rf,market_rf,60,500,0.022713584506232842,-0.006968851537343236,0.07781637372193033,False,-0.011998978042606977,0.0937730957393888,0.902
loss10,topology_lasso,topology,60,500,0.024386905003937275,-0.018970552788527356,0.11300547116622077,False,-0.028360216611965253,0.13165677263502204,0.846
loss10,market_lasso,market,60,500,-0.0938695436044272,-0.20975806119531193,0.010070613742094269,False,-0.22318021238967198,0.019770008945176547,0.06
loss10,combined_lasso,market_lasso,60,500,-0.004720404057284716,-0.02209007646474418,0.008756484332108015,False,-0.025178079425453255,0.011011495430608812,0.324
loss10,topology_rf,topology,120,500,0.0514473402983417,-0.008819183563986553,0.19735378488619287,False,-0.017402520678621396,0.21397474746777037,0.904
loss10,market_rf,market,120,500,-0.10349213580655292,-0.20933697726800984,-0.0027346347579406943,False,-0.2276743187284884,0.0017942588437971647,0.016
loss10,combined_rf,market_rf,120,500,0.022713584506232842,-0.011466319343752968,0.08264604362310281,False,-0.01329142938124851,0.09910614732504908,0.84
loss10,topology_lasso,topology,120,500,0.024386905003937275,-0.019389743216864055,0.13838093816500485,False,-0.025737168527514065,0.15462246364198984,0.81
loss10,market_lasso,market,120,500,-0.0938695436044272,-0.178275905376775,0.012951122049838686,False,-0.20514352325946109,0.016481195993817248,0.102
loss10,combined_lasso,market_lasso,120,500,-0.004720404057284716,-0.019422721805691143,0.009529225507155197,False,-0.022011539304225725,0.014890812953420018,0.288
loss10,topology_pi_rf,market,20,500,-0.10006719801591894,-0.2404575387815441,-0.01527295986597918,False,-0.2676836404855261,-0.010387056629079884,0.006
loss10,combined_pi_rf,market,20,500,-0.08704017420372556,-0.21963481499852713,-0.011321995295901536,False,-0.25193345254787497,-0.005389018913935446,0.008
loss10,combined_pi_rf,combined,20,500,-0.08937515478113359,-0.23175981327035436,-0.009106024936606512,False,-0.25030524174278107,-0.0022241046879758557,0.008
loss10,topology_pi_lasso,market,20,500,-0.09651973354465794,-0.23395981974192936,-0.01258929338537647,False,-0.2590146841713825,0.0016857312789018226,0.016
loss10,combined_pi_lasso,market,20,500,-0.08596849760889168,-0.2139130468397388,-0.013398781828507405,False,-0.24469371794076375,-0.010096542234232201,0.004
loss10,combined_pi_lasso,combined,20,500,-0.0883034781862997,-0.2231371715496125,-0.011065500544667768,False,-0.24954422287109257,-0.007060205748823069,0.004
loss10,topology_pi_lasso,topology_pi_rf,20,500,0.0035474644712610026,-0.01552012776458183,0.028118413440107116,False,-0.018481686693276274,0.031549383922118646,0.658
loss10,topology_pi_rf,market,60,500,-0.10006719801591894,-0.20435922176684818,-0.004735733181386163,False,-0.21029617381096102,0.004765770519949716,0.016
loss10,combined_pi_rf,market,60,500,-0.08704017420372556,-0.18267925978412095,-0.002457291504968253,False,-0.19622172787997536,0.005711718120644892,0.018
loss10,combined_pi_rf,combined,60,500,-0.08937515478113359,-0.18292774346040522,-0.0001267219037000595,False,-0.1910761149245794,0.004539513752338458,0.022
loss10,topology_pi_lasso,market,60,500,-0.09651973354465794,-0.2010132804776142,-0.001767183375260694,False,-0.20984257131446551,0.0021590117474450258,0.022
loss10,combined_pi_lasso,market,60,500,-0.08596849760889168,-0.18259544697872115,-0.0063579690210021815,False,-0.20221842024431785,-0.002172035601036514,0.006
loss10,combined_pi_lasso,combined,60,500,-0.0883034781862997,-0.18370513685343506,-0.0017914491332873587,False,-0.19832544561819218,0.0022822542963257053,0.018
loss10,topology_pi_lasso,topology_pi_rf,60,500,0.0035474644712610026,-0.017782838614784136,0.03073685346876409,False,-0.020749334509511885,0.0381636647808616,0.716
loss10,topology_pi_rf,market,120,500,-0.10006719801591894,-0.19488832244242812,0.002081054418511701,False,-0.21834040906634491,0.009538278961974478,0.032
loss10,combined_pi_rf,market,120,500,-0.08704017420372556,-0.17581478869149414,0.0035584926561774235,False,-0.18829026658583667,0.00857201287840623,0.046
loss10,combined_pi_rf,combined,120,500,-0.08937515478113359,-0.1717547610345109,0.003595064963099178,False,-0.19003211934186892,0.007973761212512675,0.052
