target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss10,VIX,0.01,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,350,68,129,0.0811500115928588,0.34517766497461927,0.16267942583732056,0.09268292682926829,53,48,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.05,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.1,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,1019,118,79,0.2362624623232089,0.5989847715736041,0.10378188214599825,0.25210643015521067,95,86,0.5957558554878133,0.2470931117882754,9
loss10,combined,0.01,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,331,58,139,0.07674472524924647,0.29441624365482233,0.14910025706940874,0.08625277161862528,57,50,0.5932272238199987,0.20953523492403028,9
loss10,combined,0.05,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,579,70,127,0.13424530489218642,0.3553299492385787,0.10785824345146379,0.14390243902439023,74,67,0.5932272238199987,0.20953523492403028,9
loss10,combined,0.1,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,828,99,98,0.19197774171110596,0.5025380710659898,0.10679611650485436,0.20554323725055432,73,63,0.5932272238199987,0.20953523492403028,9
loss10,combined_lasso,0.01,4510,197,0.04368070953436807,0.6843700016830243,0.07953598435964107,308,58,139,0.07141201020171574,0.29441624365482233,0.15846994535519127,0.0811529933481153,65,57,0.5582698063661633,0.19239284667723097,9
loss10,combined_lasso,0.05,4510,197,0.04368070953436807,0.6843700016830243,0.07953598435964107,635,71,126,0.14722930674704382,0.3604060913705584,0.10056657223796034,0.15654101995565411,79,70,0.5582698063661633,0.19239284667723097,9
loss10,combined_lasso,0.1,4510,197,0.04368070953436807,0.6843700016830243,0.07953598435964107,847,92,105,0.1963830280547183,0.467005076142132,0.0979765708200213,0.2082039911308204,84,73,0.5582698063661633,0.19239284667723097,9
loss10,combined_rf,0.01,4510,197,0.04368070953436807,0.71722722356328,0.09734738072103291,471,54,143,0.10920472988638999,0.27411167512690354,0.10285714285714286,0.1164079822616408,68,54,0.5162130762223179,0.14907490954654706,9
loss10,combined_rf,0.05,4510,197,0.04368070953436807,0.71722722356328,0.09734738072103291,733,90,107,0.16995130999304428,0.45685279187817257,0.10935601458080195,0.18248337028824835,79,62,0.5162130762223179,0.14907490954654706,9
loss10,combined_rf,0.1,4510,197,0.04368070953436807,0.71722722356328,0.09734738072103291,911,100,97,0.21122188731741248,0.5076142131979695,0.09891196834817013,0.22416851441241686,80,68,0.5162130762223179,0.14907490954654706,9
loss10,market,0.01,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,446,62,135,0.10340830048690007,0.3147208121827411,0.1220472440944882,0.11263858093126386,45,40,0.5860480432025895,0.20887842869678833,9
loss10,market,0.05,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,667,81,116,0.1546487363783909,0.41116751269035534,0.10828877005347594,0.16585365853658537,53,47,0.5860480432025895,0.20887842869678833,9
loss10,market,0.1,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,902,115,82,0.2091351727335961,0.583756345177665,0.11307767944936087,0.22549889135254989,64,50,0.5860480432025895,0.20887842869678833,9
loss10,market_lasso,0.01,4510,197,0.04368070953436807,0.6899616435260651,0.08425638841692579,429,62,135,0.09946672849524693,0.3147208121827411,0.12627291242362526,0.10886917960088692,47,41,0.5526310633675926,0.1966271323564195,9
loss10,market_lasso,0.05,4510,197,0.04368070953436807,0.6899616435260651,0.08425638841692579,693,81,116,0.1606770229538604,0.41116751269035534,0.10465116279069768,0.17161862527716187,61,51,0.5526310633675926,0.1966271323564195,9
