target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss10,VIX,0.01,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,350,68,129,0.0811500115928588,0.34517766497461927,0.16267942583732056,0.09268292682926829,53,48,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.05,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.1,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,1019,118,79,0.2362624623232089,0.5989847715736041,0.10378188214599825,0.25210643015521067,95,86,0.5957558554878133,0.2470931117882754,9
loss10,combined,0.01,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,331,58,139,0.07674472524924647,0.29441624365482233,0.14910025706940874,0.08625277161862528,57,50,0.5932272238199987,0.20953523492403028,9
loss10,combined,0.05,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,579,70,127,0.13424530489218642,0.3553299492385787,0.10785824345146379,0.14390243902439023,74,67,0.5932272238199987,0.20953523492403028,9
loss10,combined,0.1,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,828,99,98,0.19197774171110596,0.5025380710659898,0.10679611650485436,0.20554323725055432,73,63,0.5932272238199987,0.20953523492403028,9
loss10,combined_delay,0.01,4510,197,0.04368070953436807,0.7387369786303007,0.1937069141198158,412,65,132,0.09552515650359379,0.3299492385786802,0.13626834381551362,0.10576496674057649,36,32,0.5545837214357221,0.23524856662875937,9
loss10,combined_delay,0.05,4510,197,0.04368070953436807,0.7387369786303007,0.1937069141198158,655,86,111,0.15186645026663576,0.4365482233502538,0.11605937921727395,0.16430155210643016,64,55,0.5545837214357221,0.23524856662875937,9
loss10,combined_delay,0.1,4510,197,0.04368070953436807,0.7387369786303007,0.1937069141198158,917,116,81,0.21261303037329005,0.5888324873096447,0.1122942884801549,0.22904656319290465,82,70,0.5545837214357221,0.23524856662875937,9
loss10,delay_topology,0.01,4510,197,0.04368070953436807,0.47380778922417294,0.04364735213506318,157,26,171,0.03640157662879666,0.1319796954314721,0.14207650273224043,0.04057649667405765,32,27,0.5438749135228439,0.22239172448666059,9
loss10,delay_topology,0.05,4510,197,0.04368070953436807,0.47380778922417294,0.04364735213506318,356,42,155,0.08254115464873638,0.2131979695431472,0.10552763819095477,0.08824833702882483,91,82,0.5438749135228439,0.22239172448666059,9
loss10,delay_topology,0.1,4510,197,0.04368070953436807,0.47380778922417294,0.04364735213506318,551,55,142,0.1277533039647577,0.27918781725888325,0.09075907590759076,0.1343680709534368,129,117,0.5438749135228439,0.22239172448666059,9
loss10,market,0.01,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,446,62,135,0.10340830048690007,0.3147208121827411,0.1220472440944882,0.11263858093126386,45,40,0.5860480432025895,0.20887842869678833,9
loss10,market,0.05,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,667,81,116,0.1546487363783909,0.41116751269035534,0.10828877005347594,0.16585365853658537,53,47,0.5860480432025895,0.20887842869678833,9
loss10,market,0.1,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,902,115,82,0.2091351727335961,0.583756345177665,0.11307767944936087,0.22549889135254989,64,50,0.5860480432025895,0.20887842869678833,9
loss10,topology,0.01,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,289,22,175,0.06700672385810341,0.1116751269035533,0.0707395498392283,0.06895787139689578,107,90,0.5679859387272534,0.18194569767552493,9
loss10,topology,0.05,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,544,72,125,0.12613030373290054,0.36548223350253806,0.11688311688311688,0.13658536585365855,146,122,0.5679859387272534,0.18194569767552493,9
