target,model,budget,events,detected,median_lead_when_detected,event_recall
loss10,VIX,0.01,6,4,17.5,0.6666666666666666
loss10,VIX,0.05,6,6,13.0,1.0
loss10,VIX,0.1,6,6,13.5,1.0
loss10,combined,0.01,6,4,16.5,0.6666666666666666
loss10,combined,0.05,6,5,14.0,0.8333333333333334
loss10,combined,0.1,6,6,13.5,1.0
loss10,combined_correlation,0.01,6,3,18.0,0.5
loss10,combined_correlation,0.05,6,4,13.0,0.6666666666666666
loss10,combined_correlation,0.1,6,6,10.5,1.0
loss10,combined_ews,0.01,6,4,11.5,0.6666666666666666
loss10,combined_ews,0.05,6,4,17.0,0.6666666666666666
loss10,combined_ews,0.1,6,5,15.0,0.8333333333333334
loss10,combined_ews_correlation,0.01,6,4,11.0,0.6666666666666666
loss10,combined_ews_correlation,0.05,6,4,13.5,0.6666666666666666
loss10,combined_ews_correlation,0.1,6,5,10.0,0.8333333333333334
loss10,combined_z,0.01,6,3,20.0,0.5
loss10,combined_z,0.05,6,4,17.0,0.6666666666666666
loss10,combined_z,0.1,6,5,16.0,0.8333333333333334
loss10,combined_z_correlation,0.01,6,3,19.0,0.5
loss10,combined_z_correlation,0.05,6,3,20.0,0.5
loss10,combined_z_correlation,0.1,6,5,14.0,0.8333333333333334
loss10,market,0.01,6,4,17.0,0.6666666666666666
loss10,market,0.05,6,6,12.0,1.0
loss10,market,0.1,6,6,12.5,1.0
loss10,market_correlation,0.01,6,3,18.0,0.5
loss10,market_correlation,0.05,6,4,13.0,0.6666666666666666
loss10,market_correlation,0.1,6,6,5.0,1.0
loss10,topology,0.01,6,3,13.0,0.5
loss10,topology,0.05,6,3,13.0,0.5
loss10,topology,0.1,6,3,15.0,0.5
loss10,topology_ews,0.01,6,0,,0.0
loss10,topology_ews,0.05,6,0,,0.0
loss10,topology_ews,0.1,6,1,20.0,0.16666666666666666
loss10,topology_z,0.01,6,2,8.0,0.3333333333333333
loss10,topology_z,0.05,6,2,9.5,0.3333333333333333
loss10,topology_z,0.1,6,2,15.5,0.3333333333333333
loss075,VIX,0.01,6,4,17.5,0.6666666666666666
loss075,VIX,0.05,6,6,13.0,1.0
loss075,VIX,0.1,6,6,13.5,1.0
loss075,combined,0.01,6,4,16.5,0.6666666666666666
loss075,combined,0.05,6,6,13.5,1.0
loss075,combined,0.1,6,6,13.5,1.0
loss075,combined_correlation,0.01,6,3,19.0,0.5
loss075,combined_correlation,0.05,6,6,10.0,1.0
loss075,combined_correlation,0.1,6,6,10.0,1.0
loss075,combined_ews,0.01,6,4,17.0,0.6666666666666666
loss075,combined_ews,0.05,6,5,15.0,0.8333333333333334
loss075,combined_ews,0.1,6,6,11.5,1.0
loss075,combined_ews_correlation,0.01,6,3,20.0,0.5
loss075,combined_ews_correlation,0.05,6,4,13.5,0.6666666666666666
loss075,combined_ews_correlation,0.1,6,6,5.5,1.0
loss075,combined_z,0.01,6,3,19.0,0.5
loss075,combined_z,0.05,6,4,17.0,0.6666666666666666
loss075,combined_z,0.1,6,5,17.0,0.8333333333333334
loss075,combined_z_correlation,0.01,6,3,19.0,0.5
loss075,combined_z_correlation,0.05,6,4,13.5,0.6666666666666666
loss075,combined_z_correlation,0.1,6,5,15.0,0.8333333333333334
loss075,market,0.01,6,4,17.0,0.6666666666666666
loss075,market,0.05,6,6,12.5,1.0
loss075,market,0.1,6,6,13.5,1.0
loss075,market_correlation,0.01,6,3,17.0,0.5
loss075,market_correlation,0.05,6,5,7.0,0.8333333333333334
loss075,market_correlation,0.1,6,6,10.5,1.0
loss075,topology,0.01,6,3,7.0,0.5
loss075,topology,0.05,6,4,9.5,0.6666666666666666
loss075,topology,0.1,6,4,10.5,0.6666666666666666
loss075,topology_ews,0.01,6,0,,0.0
loss075,topology_ews,0.05,6,0,,0.0
loss075,topology_ews,0.1,6,3,20.0,0.5
loss075,topology_z,0.01,6,2,8.0,0.3333333333333333
loss075,topology_z,0.05,6,2,9.5,0.3333333333333333
loss075,topology_z,0.1,6,2,14.5,0.3333333333333333
loss05,VIX,0.01,6,4,17.5,0.6666666666666666
loss05,VIX,0.05,6,6,13.0,1.0
loss05,VIX,0.1,6,6,13.5,1.0
loss05,combined,0.01,6,4,16.5,0.6666666666666666
loss05,combined,0.05,6,5,20.0,0.8333333333333334
loss05,combined,0.1,6,6,13.5,1.0
loss05,combined_correlation,0.01,6,3,20.0,0.5
loss05,combined_correlation,0.05,6,4,17.0,0.6666666666666666
loss05,combined_correlation,0.1,6,6,13.0,1.0
loss05,combined_ews,0.01,6,4,18.5,0.6666666666666666
loss05,combined_ews,0.05,6,6,13.5,1.0
loss05,combined_ews,0.1,6,6,13.5,1.0
loss05,combined_ews_correlation,0.01,6,3,20.0,0.5
loss05,combined_ews_correlation,0.05,6,6,3.5,1.0
loss05,combined_ews_correlation,0.1,6,6,8.5,1.0
loss05,combined_z,0.01,6,4,17.0,0.6666666666666666
loss05,combined_z,0.05,6,4,18.0,0.6666666666666666
loss05,combined_z,0.1,6,5,20.0,0.8333333333333334
loss05,combined_z_correlation,0.01,6,3,20.0,0.5
loss05,combined_z_correlation,0.05,6,3,20.0,0.5
loss05,combined_z_correlation,0.1,6,5,14.0,0.8333333333333334
loss05,market,0.01,6,4,17.0,0.6666666666666666
loss05,market,0.05,6,6,13.0,1.0
loss05,market,0.1,6,6,13.5,1.0
loss05,market_correlation,0.01,6,3,20.0,0.5
loss05,market_correlation,0.05,6,5,6.0,0.8333333333333334
loss05,market_correlation,0.1,6,6,10.5,1.0
loss05,topology,0.01,6,3,10.0,0.5
loss05,topology,0.05,6,3,13.0,0.5
loss05,topology,0.1,6,3,15.0,0.5
loss05,topology_ews,0.01,6,0,,0.0
loss05,topology_ews,0.05,6,0,,0.0
loss05,topology_ews,0.1,6,3,20.0,0.5
loss05,topology_z,0.01,6,2,8.0,0.3333333333333333
loss05,topology_z,0.05,6,2,9.5,0.3333333333333333
loss05,topology_z,0.1,6,2,13.5,0.3333333333333333
