target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model,source,basket,p_approx,q_value_bh,significant_fdr_5pct
loss10,combined_xgb,combined,60,500,-0.1086806437819866,-0.2213802976062064,-0.0100812154799744,False,-0.2320669314518449,-0.0068170684271448,0.0,phase3_xgb_extension,,0.001996007984031936,0.0385894876912841,True
,target_combined,target_market,60,441,0.0,0.0,0.0,False,0.0,0.0,0.0,phase4_transfer_trained,international_indices,0.001996007984031936,0.0385894876912841,True
,target_topology_xgb,target_topology,60,441,-9.750929058943704e-05,-0.0013388673182487,0.0,False,-0.0016202305298277,0.0,0.0,phase4_transfer_trained,international_indices,0.001996007984031936,0.0385894876912841,True
,target_topology,target_market,60,441,-0.1480775973231001,-0.5420679019529665,-0.0258915916528927,False,-0.608447535024961,-0.0161729256328387,0.0,phase4_transfer_trained,international_indices,0.001996007984031936,0.0385894876912841,True
loss075,topology_orthogonal,topology,60,500,-0.0384017783669141,-0.0686225734465015,-0.0124483343796026,False,-0.0748829310346134,-0.0108456642008858,0.0,phase2_orthogonal_addendum,,0.001996007984031936,0.0385894876912841,True
,target_combined,target_topology_xgb,60,441,0.1481751066136895,0.0260705913689171,0.542260873754222,False,0.0168092325573553,0.6084578248904724,1.0,phase4_transfer_trained,international_indices,0.001996007984031936,0.0385894876912841,True
loss10,market_rf,market,60,500,-0.1034921358065529,-0.2296222745264724,-0.0090382170712154,False,-0.2469423817624125,-0.0062393118380898,0.002,phase7_alternative_learners,,0.004,0.051555555555555556,False
loss05,topology_orthogonal,topology,60,500,-0.0657701922495923,-0.1168290086417535,-0.0196927967452513,False,-0.1237600024566137,-0.0159803688378296,0.002,phase2_orthogonal_addendum,,0.004,0.051555555555555556,False
loss075,market_rf,market,60,500,-0.1080494654191941,-0.1942827836124115,-0.0111974135081683,False,-0.2122372999233316,-0.0059625928605367,0.002,phase7_alternative_learners,,0.004,0.051555555555555556,False
loss10,combined_pi_lasso,market,60,500,-0.0859684976088916,-0.1825954469787211,-0.0063579690210021,False,-0.2022184202443178,-0.0021720356010365,0.006,phase7_alternative_learners,,0.012,0.12654545454545454,False
loss10,delay_topology,market,60,500,-0.1344785798862898,-0.2747583767027005,-0.016791469343763254,False,-0.2960615855797703,-0.007134233682621005,0.006,phase8_delay_embedding,,0.012,0.12654545454545454,False
loss10,topology_orthogonal,topology,60,500,-0.0157143953962539,-0.0400484172836638,-0.0016732377250514,False,-0.046793961128181,-0.0007338244831137,0.01,phase2_orthogonal_addendum,,0.02,0.17846153846153845,False
loss05,delay_topology,market,60,500,-0.15544412898610704,-0.2520422137410966,-0.031086492712749176,False,-0.2599808676186111,-0.005208252033292447,0.01,phase8_delay_embedding,,0.02,0.17846153846153845,False
loss05,topology_pi_lasso,market,60,500,-0.1191261935659797,-0.2299404535136866,-0.0108851863404309,False,-0.2485991762928666,0.0005579529029291,0.014,phase7_alternative_learners,,0.028,0.19885714285714282,False
loss10,topology_pi_rf,market,60,500,-0.1000671980159189,-0.2043592217668481,-0.0047357331813861,False,-0.210296173810961,0.0047657705199497,0.016,phase7_alternative_learners,,0.032,0.19885714285714282,False
loss10,market_xgb,market,60,500,-0.1019187774102413,-0.220072418037204,-0.00259061351928,False,-0.2427183998993969,0.0010791391148881,0.016,phase3_xgb_extension,,0.032,0.19885714285714282,False
,target_topology_xgb,target_topology,60,369,0.0014416401567017,0.0002938485179662,0.0046957138161767,False,-8.068761842949257e-07,0.0054931388334706,0.983739837398374,phase4_transfer_trained,credit_bond_ETFs,0.03252032520325199,0.19885714285714282,False
loss10,combined_pi_rf,market,60,500,-0.0870401742037255,-0.1826792597841209,-0.0024572915049682,False,-0.1962217278799753,0.0057117181206448,0.018,phase7_alternative_learners,,0.036,0.19885714285714282,False
loss10,combined_pi_lasso,combined,60,500,-0.0883034781862997,-0.183705136853435,-0.0017914491332873,False,-0.1983254456181921,0.0022822542963257,0.018,phase7_alternative_learners,,0.036,0.19885714285714282,False
loss075,market_xgb,market,60,500,-0.0998088250786284,-0.1872934570046149,-0.0030342500005121,False,-0.1996529723042917,0.0024566678128746,0.018,phase3_xgb_extension,,0.036,0.19885714285714282,False
loss05,topology_pi_lasso,topology_pi_rf,60,500,-0.046186694990044,-0.1085761945349916,-0.0015556258174693,False,-0.1207158925652061,0.0021794715502396,0.018,phase7_alternative_learners,,0.036,0.19885714285714282,False
loss075,delay_topology,market,60,500,-0.13885867096335483,-0.247834748682465,-0.0041560035496196815,False,-0.26544475207032675,0.0053878895183244145,0.02,phase8_delay_embedding,,0.04,0.2109090909090909,False
loss10,combined_pi_rf,combined,60,500,-0.0893751547811335,-0.1829277434604052,-0.0001267219037,False,-0.1910761149245794,0.0045395137523384,0.022,phase7_alternative_learners,,0.044,0.21266666666666667,False
loss10,topology_pi_lasso,market,60,500,-0.0965197335446579,-0.2010132804776142,-0.0017671833752606,False,-0.2098425713144655,0.002159011747445,0.022,phase7_alternative_learners,,0.044,0.21266666666666667,False
loss075,combined_pi_rf,market,60,500,-0.0811041613563457,-0.1528876837004864,0.0025487321080587,False,-0.1597522403853212,0.0105990025790184,0.03,phase7_alternative_learners,,0.06,0.272,False
loss10,combined,VIX,60,500,-0.0393809054109048,-0.0683883158015786,0.0015120525398181,False,-0.073862615372727,0.0047680870837982,0.032,phase1_improvement_study,,0.064,0.272,False
loss075,topology_rf,topology,60,500,0.0538136937114694,-0.0018233677303251,0.1450199041343087,False,-0.0052542626796882,0.1574734178878325,0.968,phase7_alternative_learners,,0.06400000000000006,0.272,False
loss075,combined_xgb,combined,60,500,-0.0864708804841675,-0.1610212169147418,0.0022497321189363,False,-0.173609678804673,0.0052491478857708,0.034,phase3_xgb_extension,,0.068,0.272,False
loss10,market,VIX,60,500,-0.0417158859883128,-0.0697478343725051,0.0027077690363235,False,-0.0772317500255066,0.0046153707790867,0.034,phase1_improvement_study,,0.068,0.272,False
loss05,combined_pi_lasso,market,60,500,-0.0811583028584898,-0.1825452349925661,0.0051065648759209,False,-0.1909750600627964,0.0145183512954467,0.036,phase7_alternative_learners,,0.072,0.2783999999999999,False
loss075,combined_pi_rf,combined,60,500,-0.0775151567401886,-0.1474021314377774,0.0087353968162223,False,-0.1527319839185057,0.0121139152083705,0.042,phase7_alternative_learners,,0.084,0.30160000000000026,False
loss075,topology_pi_rf,market,60,500,-0.0891488966144245,-0.1725579484311006,0.0145896832441056,False,-0.1824704337758606,0.0202418605109296,0.044,phase7_alternative_learners,,0.088,0.30160000000000026,False
loss05,market_xgb,market,60,500,-0.0742542280243473,-0.1420985524632558,0.0052638320609522,False,-0.1490838169778653,0.0139522868076345,0.046,phase3_xgb_extension,,0.092,0.30160000000000026,False
loss075,topology_z,topology,60,500,0.0188046503565308,-0.0036759887545525,0.048665969590983,False,-0.0088776420752761,0.0543451821870639,0.954,phase1_improvement_study,,0.09200000000000008,0.30160000000000026,False
