model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model
topology_pi_xgb,topology,20,500,0.03757479000050227,-0.0016447889657997803,0.10149406348441832,False,-0.008302964845422367,0.11258233225093486,0.966
topology_pi_xgb,market,20,500,-0.0892240920452075,-0.2132489928136652,-0.011431954392047932,False,-0.23521122907478517,-0.006152509258351124,0.01
combined_pi_xgb,market,20,500,-0.07361914554576984,-0.189864052830119,-0.010251824019117088,False,-0.21072836215944743,-0.00530075213434779,0.006
combined_pi_xgb,combined,20,500,-0.07595412612317787,-0.19149417116938525,-0.0070823590107816446,False,-0.2130691051885204,-0.004364511465012235,0.006
topology_pi_xgb,topology,60,500,0.03757479000050227,-0.013429941263513242,0.12516032885732936,False,-0.023868820384571856,0.14178287945661777,0.914
topology_pi_xgb,market,60,500,-0.0892240920452075,-0.17727087024723825,-0.006803041428548385,False,-0.1936256991912073,0.0025856919442695005,0.014
combined_pi_xgb,market,60,500,-0.07361914554576984,-0.15035227838223217,-0.004018779680084915,False,-0.1602940316108999,-0.001542905795882178,0.01
combined_pi_xgb,combined,60,500,-0.07595412612317787,-0.14748463783095786,-0.0027025545347476795,False,-0.15756505857108294,-0.0010835543752644673,0.008
topology_pi_xgb,topology,120,500,0.03757479000050227,-0.01741082382680652,0.14808682281034424,False,-0.022004119205068465,0.18115253246447915,0.844
topology_pi_xgb,market,120,500,-0.0892240920452075,-0.1699426837764813,-0.00023674074650469016,False,-0.18376245665366592,0.007109673845487423,0.024
combined_pi_xgb,market,120,500,-0.07361914554576984,-0.1457575199160379,-0.0002202344986443927,False,-0.16242936886667134,0.0046390027869776945,0.024
combined_pi_xgb,combined,120,500,-0.07595412612317787,-0.14189670358213533,-0.00020716682553601978,False,-0.15897571708628436,0.002662354218317801,0.026
