model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
VIX,0.01,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,350,68,129,0.0811500115928588,0.34517766497461927,0.16267942583732056,0.09268292682926829,53,48,0.5957558554878133,0.2470931117882754,9
VIX,0.05,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73,0.5957558554878133,0.2470931117882754,9
VIX,0.1,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,1019,118,79,0.2362624623232089,0.5989847715736041,0.10378188214599825,0.25210643015521067,95,86,0.5957558554878133,0.2470931117882754,9
combined,0.01,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,331,58,139,0.07674472524924647,0.29441624365482233,0.14910025706940874,0.08625277161862528,57,50,0.5932272238199987,0.20953523492403028,9
combined,0.05,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,579,70,127,0.13424530489218642,0.3553299492385787,0.10785824345146379,0.14390243902439023,74,67,0.5932272238199987,0.20953523492403028,9
combined,0.1,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,828,99,98,0.19197774171110596,0.5025380710659898,0.10679611650485436,0.20554323725055432,73,63,0.5932272238199987,0.20953523492403028,9
combined_pi_xgb,0.01,4510,197,0.04368070953436807,0.7196181771318209,0.10450678647558315,286,58,139,0.06631115233016462,0.29441624365482233,0.1686046511627907,0.0762749445676275,70,64,0.6014341729534444,0.20144710773951618,9
combined_pi_xgb,0.05,4510,197,0.04368070953436807,0.7196181771318209,0.10450678647558315,590,86,111,0.13679573382796198,0.4365482233502538,0.12721893491124261,0.14988913525498893,89,73,0.6014341729534444,0.20144710773951618,9
combined_pi_xgb,0.1,4510,197,0.04368070953436807,0.7196181771318209,0.10450678647558315,783,94,103,0.18154416879202412,0.47715736040609136,0.10718358038768529,0.19445676274944568,94,78,0.6014341729534444,0.20144710773951618,9
market,0.01,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,446,62,135,0.10340830048690007,0.3147208121827411,0.1220472440944882,0.11263858093126386,45,40,0.5860480432025895,0.20887842869678833,9
market,0.05,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,667,81,116,0.1546487363783909,0.41116751269035534,0.10828877005347594,0.16585365853658537,53,47,0.5860480432025895,0.20887842869678833,9
market,0.1,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,902,115,82,0.2091351727335961,0.583756345177665,0.11307767944936087,0.22549889135254989,64,50,0.5860480432025895,0.20887842869678833,9
topology,0.01,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,289,22,175,0.06700672385810341,0.1116751269035533,0.0707395498392283,0.06895787139689578,107,90,0.5679859387272534,0.18194569767552493,9
topology,0.05,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,544,72,125,0.12613030373290054,0.36548223350253806,0.11688311688311688,0.13658536585365855,146,122,0.5679859387272534,0.18194569767552493,9
topology,0.1,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,800,94,103,0.18548574078367724,0.47715736040609136,0.10514541387024609,0.1982261640798226,172,159,0.5679859387272534,0.18194569767552493,9
topology_pi_xgb,0.01,4510,197,0.04368070953436807,0.7100714284873614,0.0889018399761455,81,38,159,0.01878043125434732,0.19289340101522842,0.31932773109243695,0.02638580931263858,33,29,0.5896824552961847,0.20007716651479995,9
topology_pi_xgb,0.05,4510,197,0.04368070953436807,0.7100714284873614,0.0889018399761455,304,50,147,0.07048458149779736,0.25380710659898476,0.14124293785310735,0.07849223946784922,105,98,0.5896824552961847,0.20007716651479995,9
topology_pi_xgb,0.1,4510,197,0.04368070953436807,0.7100714284873614,0.0889018399761455,727,71,126,0.16856016693716672,0.3604060913705584,0.08897243107769423,0.17694013303769401,162,147,0.5896824552961847,0.20007716651479995,9
