target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model
loss10,topology_pi_xgb_regime,topology_pi_xgb,20,500,-0.1130652263535397,-0.19345511507324406,-0.0456349261314319,False,-0.2028889204814131,-0.03627198099940134,0.0
loss10,combined_pi_xgb_regime,market,20,500,-0.19457611283061804,-0.321521763999254,-0.07979036472701691,False,-0.33290431421432676,-0.06825052696191453,0.0
loss10,combined_pi_xgb_regime,combined,20,500,-0.19447278024617715,-0.31916045213538324,-0.08222872398359055,False,-0.3310593742972587,-0.06591986605346492,0.0
loss10,topology_pi_xgb_regime,topology_pi_xgb,60,500,-0.1130652263535397,-0.23051146687965426,-0.02368794056383061,False,-0.2545969362857292,-0.014872699637434468,0.002
loss10,combined_pi_xgb_regime,market,60,500,-0.19457611283061804,-0.3543482596579126,-0.0244413989046889,False,-0.38681719926502006,-0.013213292537842463,0.004
loss10,combined_pi_xgb_regime,combined,60,500,-0.19447278024617715,-0.35272621545195576,-0.025390266324724676,False,-0.3860160329025058,-0.01375262405927781,0.006
loss10,topology_pi_xgb_regime,topology_pi_xgb,120,500,-0.1130652263535397,-0.23758217981024107,-0.022223883371344202,False,-0.26912465175728406,-0.014079709220712368,0.008
loss10,combined_pi_xgb_regime,market,120,500,-0.19457611283061804,-0.40747320183845387,-0.01600263868605905,False,-0.41608279359738565,-0.004779620603323754,0.008
loss10,combined_pi_xgb_regime,combined,120,500,-0.19447278024617715,-0.4002702352416933,-0.018913897242929516,False,-0.41897780048116723,-0.009368104702837863,0.008
loss075,topology_pi_xgb_regime,topology_pi_xgb,20,500,-0.09627082513535751,-0.1551325778425231,-0.04042862797955503,False,-0.16101353515318698,-0.03496754083893243,0.0
loss075,combined_pi_xgb_regime,market,20,500,-0.19637811116875317,-0.2970355850175397,-0.09762114060548573,False,-0.3146401194805901,-0.08853296681724152,0.0
loss075,combined_pi_xgb_regime,combined,20,500,-0.18898118168798242,-0.28558135526385475,-0.0933302758430105,False,-0.2989316264550301,-0.08502262750414583,0.0
loss075,topology_pi_xgb_regime,topology_pi_xgb,60,500,-0.09627082513535751,-0.17902586341410914,-0.023757225812089968,False,-0.19380298173345303,-0.01780537894644117,0.0
loss075,combined_pi_xgb_regime,market,60,500,-0.19637811116875317,-0.3356692925116373,-0.04554025041523713,False,-0.3630157034426759,-0.030678857113652168,0.002
loss075,combined_pi_xgb_regime,combined,60,500,-0.18898118168798242,-0.3297906709631361,-0.04051546946323169,False,-0.35347043246365234,-0.032125726540220334,0.0
loss075,topology_pi_xgb_regime,topology_pi_xgb,120,500,-0.09627082513535751,-0.18404844252086328,-0.013846366975141088,False,-0.20059014712021564,-0.00855455649041675,0.006
loss075,combined_pi_xgb_regime,market,120,500,-0.19637811116875317,-0.3798189150292278,-0.04056713257302432,False,-0.4147118381947704,-0.029081818604944343,0.004
loss075,combined_pi_xgb_regime,combined,120,500,-0.18898118168798242,-0.35264834316461585,-0.04270873137212521,False,-0.3861593195550186,-0.03545709436764335,0.002
loss05,topology_pi_xgb_regime,topology_pi_xgb,20,500,-0.07306517251213729,-0.13346763435049847,-0.0064315697260815706,False,-0.1391238837755388,0.0028073551436567467,0.016
loss05,combined_pi_xgb_regime,market,20,500,-0.16765596464841243,-0.2435808437056488,-0.07952587214075352,False,-0.2656410884640329,-0.06939852820721286,0.0
loss05,combined_pi_xgb_regime,combined,20,500,-0.17790222981476467,-0.25118223834307896,-0.09092672430068827,False,-0.26739545721988606,-0.07966447702857128,0.0
loss05,topology_pi_xgb_regime,topology_pi_xgb,60,500,-0.07306517251213729,-0.15081949448947593,0.00967443738032237,False,-0.15873435144886336,0.01833968296303703,0.044
loss05,combined_pi_xgb_regime,market,60,500,-0.16765596464841243,-0.27754739941872086,-0.05145016800215574,False,-0.2952459564576918,-0.037885750760452204,0.002
loss05,combined_pi_xgb_regime,combined,60,500,-0.17790222981476467,-0.2864779634223725,-0.0608900079211931,False,-0.3004284269695442,-0.04973055594748094,0.002
loss05,topology_pi_xgb_regime,topology_pi_xgb,120,500,-0.07306517251213729,-0.15843737696222532,0.013875031477677177,False,-0.1759777300238267,0.032276475346391824,0.056
loss05,combined_pi_xgb_regime,market,120,500,-0.16765596464841243,-0.3080619589024349,-0.046655060578505464,False,-0.3117989568240165,-0.03287806273703494,0.004
loss05,combined_pi_xgb_regime,combined,120,500,-0.17790222981476467,-0.3061017804772397,-0.05218935151334209,False,-0.3230805708573159,-0.04069008313635382,0.002
