target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss10,combined,0.01,4470,653,0.14608501118568232,0.6386573164865329,0.29751497422946444,215,140,513,0.05632695834424941,0.21439509954058192,0.39436619718309857,0.07941834451901567,48,38,0.4637307812209985,0.37296286991890504,11
loss10,combined,0.05,4470,653,0.14608501118568232,0.6386573164865329,0.29751497422946444,436,206,447,0.11422583180508253,0.31546707503828486,0.32087227414330216,0.1436241610738255,69,52,0.4637307812209985,0.37296286991890504,11
loss10,combined,0.1,4470,653,0.14608501118568232,0.6386573164865329,0.29751497422946444,659,249,404,0.17264867697144354,0.38131699846860645,0.27422907488986786,0.20313199105145413,80,59,0.4637307812209985,0.37296286991890504,11
loss10,combined_pi_xgb_regime,0.01,4470,653,0.14608501118568232,0.3169146170854094,0.10304219398328729,838,80,573,0.21954414461619073,0.1225114854517611,0.08714596949891068,0.20536912751677852,104,93,0.5163144387268294,0.43592825192832063,11
loss10,combined_pi_xgb_regime,0.05,4470,653,0.14608501118568232,0.3169146170854094,0.10304219398328729,1043,106,547,0.27325124443280063,0.16232771822358347,0.09225413402959094,0.2570469798657718,118,108,0.5163144387268294,0.43592825192832063,11
loss10,combined_pi_xgb_regime,0.1,4470,653,0.14608501118568232,0.3169146170854094,0.10304219398328729,1271,119,534,0.3329840188629814,0.18223583460949463,0.0856115107913669,0.31096196868008946,126,114,0.5163144387268294,0.43592825192832063,11
loss10,market,0.01,4470,653,0.14608501118568232,0.6469180955193197,0.29761830681390533,333,162,491,0.0872412889703956,0.24808575803981622,0.32727272727272727,0.11073825503355705,40,33,0.43497912469814165,0.3568418575163561,11
loss10,market,0.05,4470,653,0.14608501118568232,0.6469180955193197,0.29761830681390533,534,240,413,0.1399004453759497,0.3675344563552833,0.31007751937984496,0.17315436241610738,48,32,0.43497912469814165,0.3568418575163561,11
loss10,market,0.1,4470,653,0.14608501118568232,0.6469180955193197,0.29761830681390533,703,283,370,0.18417605449305738,0.4333843797856049,0.2870182555780933,0.22058165548098435,58,41,0.43497912469814165,0.3568418575163561,11
loss10,topology_pi_xgb,0.01,4470,653,0.14608501118568232,0.6247082749415146,0.2092150997782533,127,79,574,0.03327220330102174,0.12098009188361408,0.38349514563106796,0.046085011185682326,53,45,0.584078090772051,0.42517323700020027,11
loss10,topology_pi_xgb,0.05,4470,653,0.14608501118568232,0.6247082749415146,0.2092150997782533,263,121,532,0.06890227927691904,0.18529862174578868,0.3151041666666667,0.08590604026845637,97,78,0.584078090772051,0.42517323700020027,11
loss10,topology_pi_xgb,0.1,4470,653,0.14608501118568232,0.6247082749415146,0.2092150997782533,439,208,445,0.11501178936337438,0.31852986217457885,0.321483771251932,0.14474272930648768,166,124,0.584078090772051,0.42517323700020027,11
loss10,topology_pi_xgb_regime,0.01,4470,653,0.14608501118568232,0.25506027881232546,0.09614987342471361,548,25,628,0.14356824731464501,0.03828483920367534,0.04363001745200698,0.12818791946308725,92,90,0.5174543091105831,0.44826555211251,11
loss10,topology_pi_xgb_regime,0.05,4470,653,0.14608501118568232,0.25506027881232546,0.09614987342471361,893,33,620,0.23395336651820803,0.05053598774885146,0.035637149028077755,0.20715883668903803,103,96,0.5174543091105831,0.44826555211251,11
loss10,topology_pi_xgb_regime,0.1,4470,653,0.14608501118568232,0.25506027881232546,0.09614987342471361,1166,66,587,0.30547550432276654,0.10107197549770292,0.05357142857142857,0.2756152125279642,129,117,0.5174543091105831,0.44826555211251,11
loss075,combined,0.01,4470,943,0.21096196868008948,0.6135447769832538,0.34360074478660024,252,180,763,0.07144882336263113,0.19088016967126192,0.4166666666666667,0.09664429530201342,47,30,0.44768906023168,0.41707687207701877,15
loss075,combined,0.05,4470,943,0.21096196868008948,0.6135447769832538,0.34360074478660024,464,256,687,0.13155656365182875,0.271474019088017,0.35555555555555557,0.1610738255033557,66,47,0.44768906023168,0.41707687207701877,15
loss075,combined,0.1,4470,943,0.21096196868008948,0.6135447769832538,0.34360074478660024,626,323,620,0.1774879500992345,0.3425238600212089,0.3403582718651212,0.21230425055928412,74,42,0.44768906023168,0.41707687207701877,15
loss075,combined_pi_xgb_regime,0.01,4470,943,0.21096196868008948,0.3425277686659585,0.15461956309861782,641,99,844,0.18174085625177205,0.10498409331919406,0.13378378378378378,0.16554809843400448,76,63,0.4887464940731815,0.46791203788739444,15
loss075,combined_pi_xgb_regime,0.05,4470,943,0.21096196868008948,0.3425277686659585,0.15461956309861782,860,123,820,0.24383328607882052,0.13043478260869565,0.12512716174974567,0.21991051454138702,96,75,0.4887464940731815,0.46791203788739444,15
loss075,combined_pi_xgb_regime,0.1,4470,943,0.21096196868008948,0.3425277686659585,0.15461956309861782,1171,181,762,0.3320102069747661,0.1919406150583245,0.1338757396449704,0.3024608501118568,153,120,0.4887464940731815,0.46791203788739444,15
loss075,market,0.01,4470,943,0.21096196868008948,0.6216897913114435,0.350997674267371,318,197,746,0.09016161043379643,0.20890774125132555,0.3825242718446602,0.11521252796420582,47,29,0.43180952529507605,0.4122923393420914,15
loss075,market,0.05,4470,943,0.21096196868008948,0.6216897913114435,0.350997674267371,474,306,637,0.13439183442018712,0.3244962884411453,0.3923076923076923,0.174496644295302,46,28,0.43180952529507605,0.4122923393420914,15
loss075,market,0.1,4470,943,0.21096196868008948,0.6216897913114435,0.350997674267371,639,351,592,0.18117380209810036,0.3722163308589608,0.35454545454545455,0.2214765100671141,71,48,0.43180952529507605,0.4122923393420914,15
loss075,topology_pi_xgb,0.01,4470,943,0.21096196868008948,0.5508773253805441,0.24712101279016468,104,85,858,0.029486815990927135,0.09013785790031813,0.4497354497354497,0.042281879194630875,43,31,0.520243705141655,0.4369924623828194,15
loss075,topology_pi_xgb,0.05,4470,943,0.21096196868008948,0.5508773253805441,0.24712101279016468,246,139,804,0.0697476609016161,0.1474019088016967,0.36103896103896105,0.08612975391498881,104,71,0.520243705141655,0.4369924623828194,15
loss075,topology_pi_xgb,0.1,4470,943,0.21096196868008948,0.5508773253805441,0.24712101279016468,396,221,722,0.11227672242699178,0.23435843054082714,0.3581847649918963,0.13803131991051454,186,123,0.520243705141655,0.4369924623828194,15
loss075,topology_pi_xgb_regime,0.01,4470,943,0.21096196868008948,0.3152878220760857,0.15085018765480718,778,107,836,0.22058406577828182,0.11346765641569459,0.12090395480225989,0.19798657718120805,87,70,0.4926784267831376,0.45811570764070614,15
loss075,topology_pi_xgb_regime,0.05,4470,943,0.21096196868008948,0.3152878220760857,0.15085018765480718,998,129,814,0.28296002268216613,0.13679745493107104,0.11446317657497782,0.25212527964205816,97,73,0.4926784267831376,0.45811570764070614,15
loss075,topology_pi_xgb_regime,0.1,4470,943,0.21096196868008948,0.3152878220760857,0.15085018765480718,1062,139,804,0.30110575559965974,0.1474019088016967,0.115736885928393,0.26868008948545863,107,85,0.4926784267831376,0.45811570764070614,15
loss05,combined,0.01,4470,1485,0.33221476510067116,0.6234984123761343,0.4501712293389041,213,229,1256,0.07135678391959799,0.1542087542087542,0.5180995475113123,0.09888143176733781,42,18,0.46267622266383246,0.4950422256936142,17
loss05,combined,0.05,4470,1485,0.33221476510067116,0.6234984123761343,0.4501712293389041,345,321,1164,0.11557788944723618,0.21616161616161617,0.481981981981982,0.14899328859060404,75,37,0.46267622266383246,0.4950422256936142,17
loss05,combined,0.1,4470,1485,0.33221476510067116,0.6234984123761343,0.4501712293389041,515,440,1045,0.17252931323283083,0.2962962962962963,0.4607329842931937,0.21364653243847875,96,55,0.46267622266383246,0.4950422256936142,17
loss05,combined_pi_xgb_regime,0.01,4470,1485,0.33221476510067116,0.3719349835597741,0.2722689995241394,596,217,1268,0.19966499162479062,0.14612794612794613,0.26691266912669126,0.1818791946308725,116,77,0.4470813700202941,0.5126623218407339,17
loss05,combined_pi_xgb_regime,0.05,4470,1485,0.33221476510067116,0.3719349835597741,0.2722689995241394,751,370,1115,0.25159128978224454,0.24915824915824916,0.33006244424620873,0.25078299776286356,135,77,0.4470813700202941,0.5126623218407339,17
loss05,combined_pi_xgb_regime,0.1,4470,1485,0.33221476510067116,0.3719349835597741,0.2722689995241394,901,440,1045,0.3018425460636516,0.2962962962962963,0.32811334824757643,0.3,173,108,0.4470813700202941,0.5126623218407339,17
loss05,market,0.01,4470,1485,0.33221476510067116,0.5994509020974683,0.43992496417255184,279,263,1222,0.09346733668341708,0.1771043771043771,0.48523985239852396,0.12125279642058165,35,15,0.4130582002491451,0.4636926221577803,17
loss05,market,0.05,4470,1485,0.33221476510067116,0.5994509020974683,0.43992496417255184,408,392,1093,0.13668341708542714,0.26397306397306397,0.49,0.1789709172259508,42,18,0.4130582002491451,0.4636926221577803,17
loss05,market,0.1,4470,1485,0.33221476510067116,0.5994509020974683,0.43992496417255184,539,479,1006,0.18056951423785594,0.32255892255892255,0.47053045186640474,0.22774049217002237,70,33,0.4130582002491451,0.4636926221577803,17
loss05,topology_pi_xgb,0.01,4470,1485,0.33221476510067116,0.498723358656357,0.34715622074031494,97,37,1448,0.03249581239530988,0.024915824915824916,0.27611940298507465,0.029977628635346757,34,19,0.45937452998827477,0.49165856076465264,17
loss05,topology_pi_xgb,0.05,4470,1485,0.33221476510067116,0.498723358656357,0.34715622074031494,179,137,1348,0.059966499162479064,0.09225589225589226,0.43354430379746833,0.07069351230425056,95,47,0.45937452998827477,0.49165856076465264,17
loss05,topology_pi_xgb,0.1,4470,1485,0.33221476510067116,0.498723358656357,0.34715622074031494,298,243,1242,0.09983249581239531,0.16363636363636364,0.4491682070240296,0.12102908277404922,168,91,0.45937452998827477,0.49165856076465264,17
loss05,topology_pi_xgb_regime,0.01,4470,1485,0.33221476510067116,0.3771293053370106,0.27409104822817765,577,213,1272,0.1932998324958124,0.14343434343434344,0.26962025316455696,0.1767337807606264,109,78,0.4573085291670773,0.509107637395275,17
loss05,topology_pi_xgb_regime,0.05,4470,1485,0.33221476510067116,0.3771293053370106,0.27409104822817765,816,329,1156,0.2733668341708543,0.22154882154882155,0.2873362445414847,0.25615212527964204,107,63,0.4573085291670773,0.509107637395275,17
