basket,model,budget,event,onset,peak,fully_observed,first_alarm,lead_sessions,alarm_days,censored
credit_bond_ETFs,target_combined,0.01,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
credit_bond_ETFs,target_combined,0.01,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
credit_bond_ETFs,target_combined,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
credit_bond_ETFs,target_combined,0.01,2020-02-27,2020-02-27,2020-02-19,True,,,0,False
credit_bond_ETFs,target_combined,0.01,2022-02-22,2022-02-22,2022-01-03,True,2022-02-04,11.0,8,False
credit_bond_ETFs,target_combined,0.05,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
credit_bond_ETFs,target_combined,0.05,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
credit_bond_ETFs,target_combined,0.05,2018-12-14,2018-12-14,2018-09-20,True,2018-12-07,5.0,1,False
credit_bond_ETFs,target_combined,0.05,2020-02-27,2020-02-27,2020-02-19,True,,,0,False
credit_bond_ETFs,target_combined,0.05,2022-02-22,2022-02-22,2022-01-03,True,2022-02-04,11.0,9,False
credit_bond_ETFs,target_combined,0.1,2015-08-24,2015-08-24,2015-07-20,True,2015-07-27,20.0,3,False
credit_bond_ETFs,target_combined,0.1,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
credit_bond_ETFs,target_combined,0.1,2018-12-14,2018-12-14,2018-09-20,True,2018-12-04,7.0,5,False
credit_bond_ETFs,target_combined,0.1,2020-02-27,2020-02-27,2020-02-19,True,2020-02-03,17.0,1,False
credit_bond_ETFs,target_combined,0.1,2022-02-22,2022-02-22,2022-01-03,True,2022-01-24,20.0,20,False
credit_bond_ETFs,target_market,0.01,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
credit_bond_ETFs,target_market,0.01,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
credit_bond_ETFs,target_market,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
credit_bond_ETFs,target_market,0.01,2020-02-27,2020-02-27,2020-02-19,True,,,0,False
credit_bond_ETFs,target_market,0.01,2022-02-22,2022-02-22,2022-01-03,True,2022-02-10,7.0,7,False
credit_bond_ETFs,target_market,0.05,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
