basket,year,model,C,inner_ap,constant_fallback
credit_bond_ETFs,2010,target_market,0.01,0.21182266009852216,False
credit_bond_ETFs,2010,target_topology,0.01,0.21182266009852216,False
credit_bond_ETFs,2010,target_combined,0.01,0.21182266009852216,False
credit_bond_ETFs,2010,target_topology_xgb,2.0,0.21182266009852216,False
credit_bond_ETFs,2011,target_market,0.01,0.18831742866638182,False
credit_bond_ETFs,2011,target_topology,0.01,0.18677301429046195,False
credit_bond_ETFs,2011,target_combined,0.01,0.18831742866638182,False
credit_bond_ETFs,2011,target_topology_xgb,2.0,0.18677301429046195,False
credit_bond_ETFs,2012,target_market,0.01,0.39845655701479454,False
credit_bond_ETFs,2012,target_topology,1.0,0.056923767019385736,False
credit_bond_ETFs,2012,target_combined,0.1,0.39121278334310094,False
credit_bond_ETFs,2012,target_topology_xgb,2.0,0.09848484848484848,False
credit_bond_ETFs,2013,target_market,0.01,,False
credit_bond_ETFs,2013,target_topology,0.01,,False
credit_bond_ETFs,2013,target_combined,0.01,,False
credit_bond_ETFs,2013,target_topology_xgb,2.0,,False
credit_bond_ETFs,2014,target_market,0.01,,False
credit_bond_ETFs,2014,target_topology,0.01,,False
credit_bond_ETFs,2014,target_combined,0.01,,False
credit_bond_ETFs,2014,target_topology_xgb,2.0,,False
credit_bond_ETFs,2015,target_market,0.01,,False
credit_bond_ETFs,2015,target_topology,0.01,,False
credit_bond_ETFs,2015,target_combined,0.01,,False
credit_bond_ETFs,2015,target_topology_xgb,2.0,,False
credit_bond_ETFs,2016,target_market,0.01,,False
credit_bond_ETFs,2016,target_topology,0.01,,False
credit_bond_ETFs,2016,target_combined,0.01,,False
credit_bond_ETFs,2016,target_topology_xgb,2.0,,False
credit_bond_ETFs,2017,target_market,0.01,,False
credit_bond_ETFs,2017,target_topology,0.01,,False
credit_bond_ETFs,2017,target_combined,0.01,,False
credit_bond_ETFs,2017,target_topology_xgb,2.0,,False
credit_bond_ETFs,2018,target_market,0.01,,False
credit_bond_ETFs,2018,target_topology,0.01,,False
credit_bond_ETFs,2018,target_combined,0.01,,False
credit_bond_ETFs,2018,target_topology_xgb,2.0,,False
credit_bond_ETFs,2019,target_market,0.01,,False
credit_bond_ETFs,2019,target_topology,0.01,,False
credit_bond_ETFs,2019,target_combined,0.01,,False
credit_bond_ETFs,2019,target_topology_xgb,2.0,,False
credit_bond_ETFs,2020,target_market,0.01,,False
credit_bond_ETFs,2020,target_topology,0.01,,False
credit_bond_ETFs,2020,target_combined,0.01,,False
credit_bond_ETFs,2020,target_topology_xgb,2.0,,False
credit_bond_ETFs,2021,target_market,0.01,,False
credit_bond_ETFs,2021,target_topology,0.01,,False
credit_bond_ETFs,2021,target_combined,0.01,,False
credit_bond_ETFs,2021,target_topology_xgb,2.0,,False
credit_bond_ETFs,2022,target_market,0.01,0.035073857442995016,False
credit_bond_ETFs,2022,target_topology,0.1,0.01021271026339683,False
credit_bond_ETFs,2022,target_combined,0.01,0.03256367210586506,False
credit_bond_ETFs,2022,target_topology_xgb,2.0,0.01141439205955335,False
credit_bond_ETFs,2023,target_market,0.01,0.03547216389075354,False
credit_bond_ETFs,2023,target_topology,0.1,0.009504983149448618,False
credit_bond_ETFs,2023,target_combined,0.01,0.03272312176171226,False
credit_bond_ETFs,2023,target_topology_xgb,2.0,0.01061865189289012,False
credit_bond_ETFs,2024,target_market,0.01,0.03439756147394853,False
credit_bond_ETFs,2024,target_topology,0.01,0.008863230996893453,False
credit_bond_ETFs,2024,target_combined,0.01,0.033087243419945456,False
credit_bond_ETFs,2024,target_topology_xgb,2.0,0.009930915371329879,False
international_indices,2007,target_market,1.0,0.03773414657030502,False
international_indices,2007,target_topology,0.01,0.06280193236714976,False
international_indices,2007,target_combined,1.0,0.03773414657030502,False
international_indices,2007,target_topology_xgb,2.0,0.06280193236714976,False
international_indices,2008,target_market,0.01,,False
international_indices,2008,target_topology,0.01,,False
international_indices,2008,target_combined,0.01,,False
international_indices,2008,target_topology_xgb,2.0,,False
international_indices,2009,target_market,0.01,,False
international_indices,2009,target_topology,0.01,,False
international_indices,2009,target_combined,0.01,,False
international_indices,2009,target_topology_xgb,2.0,,False
international_indices,2010,target_market,0.01,,False
international_indices,2010,target_topology,0.01,,False
international_indices,2010,target_combined,0.01,,False
international_indices,2010,target_topology_xgb,2.0,,False
international_indices,2011,target_market,1.0,0.013157768685088648,False
international_indices,2011,target_topology,0.01,0.011363636363636364,False
international_indices,2011,target_combined,1.0,0.013157768685088648,False
international_indices,2011,target_topology_xgb,2.0,0.011363636363636364,False
international_indices,2012,target_market,1.0,0.37053492175294916,False
international_indices,2012,target_topology,0.01,0.0735930735930736,False
international_indices,2012,target_combined,1.0,0.37053492175294916,False
international_indices,2012,target_topology_xgb,2.0,0.0735930735930736,False
international_indices,2013,target_market,1.0,0.48032124268307913,False
international_indices,2013,target_topology,0.01,0.09292929292929293,False
international_indices,2013,target_combined,1.0,0.48032124268307913,False
international_indices,2013,target_topology_xgb,2.0,0.09292929292929293,False
international_indices,2014,target_market,1.0,0.4808535298430739,False
international_indices,2014,target_topology,0.01,0.0872865275142315,False
international_indices,2014,target_combined,1.0,0.4808535298430739,False
international_indices,2014,target_topology_xgb,2.0,0.0872865275142315,False
international_indices,2015,target_market,1.0,0.46935119576025214,False
international_indices,2015,target_topology,0.01,0.07958477508650519,False
international_indices,2015,target_combined,1.0,0.46935119576025214,False
international_indices,2015,target_topology_xgb,2.0,0.07958477508650519,False
international_indices,2016,target_market,1.0,0.49459587198778704,False
international_indices,2016,target_topology,0.01,0.06758770147636463,False
international_indices,2016,target_combined,1.0,0.49459587198778704,False
international_indices,2016,target_topology_xgb,2.0,0.06758770147636463,False
international_indices,2017,target_market,1.0,0.3815913716515398,False
international_indices,2017,target_topology,0.01,0.06725146198830409,False
international_indices,2017,target_combined,1.0,0.3815913716515398,False
international_indices,2017,target_topology_xgb,2.0,0.06725146198830409,False
international_indices,2018,target_market,1.0,0.44632695398848216,False
international_indices,2018,target_topology,0.01,0.0647887323943662,False
international_indices,2018,target_combined,1.0,0.44632695398848216,False
international_indices,2018,target_topology_xgb,2.0,0.0647887323943662,False
international_indices,2019,target_market,1.0,0.4501097297547937,False
international_indices,2019,target_topology,0.01,0.060927152317880796,False
international_indices,2019,target_combined,1.0,0.4501097297547937,False
international_indices,2019,target_topology_xgb,2.0,0.060927152317880796,False
international_indices,2020,target_market,1.0,0.44452264420825693,False
international_indices,2020,target_topology,0.01,0.0583756345177665,False
international_indices,2020,target_combined,1.0,0.44452264420825693,False
international_indices,2020,target_topology_xgb,2.0,0.0583756345177665,False
international_indices,2021,target_market,1.0,0.45294060145775406,False
international_indices,2021,target_topology,0.01,0.053613053613053616,False
international_indices,2021,target_combined,1.0,0.45294060145775406,False
international_indices,2021,target_topology_xgb,2.0,0.053613053613053616,False
international_indices,2022,target_market,1.0,0.46058639965590636,False
international_indices,2022,target_topology,0.01,0.05094130675526024,False
international_indices,2022,target_combined,1.0,0.46058639965590636,False
international_indices,2022,target_topology_xgb,2.0,0.05094130675526024,False
international_indices,2023,target_market,1.0,0.4614909566935615,False
international_indices,2023,target_topology,0.01,0.048625792811839326,False
international_indices,2023,target_combined,1.0,0.4614909566935615,False
international_indices,2023,target_topology_xgb,2.0,0.048625792811839326,False
international_indices,2024,target_market,1.0,0.3922393345471554,False
international_indices,2024,target_topology,0.01,0.04604604604604605,False
international_indices,2024,target_combined,1.0,0.3922393345471554,False
international_indices,2024,target_topology_xgb,2.0,0.04604604604604605,False
