target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model
loss10,topology_xgb,topology,20,500,0.017495446659512325,-0.006651287877149162,0.04435545878224611,False,-0.012145319593066566,0.05080707506711807,0.938
loss10,market_xgb,market,20,500,-0.10191877741024134,-0.2391583929663746,-0.017531585552387034,False,-0.2686701778374222,-0.014590455858290665,0.0
loss10,combined_xgb,market_xgb,20,500,-0.0044268857943373235,-0.02369937984504254,0.0073122826383516856,False,-0.02620422014464127,0.008971149561072549,0.228
loss10,combined_xgb,combined,20,500,-0.10868064378198669,-0.2547688304735376,-0.023322270766681117,False,-0.2818294844486024,-0.019449070650844915,0.0
loss10,topology_xgb,topology,60,500,0.017495446659512325,-0.009456360611666494,0.05669363576307182,False,-0.019178255086061812,0.06494565611878574,0.888
loss10,market_xgb,market,60,500,-0.10191877741024134,-0.22007241803720407,-0.002590613519280079,False,-0.24271839989939692,0.0010791391148881533,0.016
loss10,combined_xgb,market_xgb,60,500,-0.0044268857943373235,-0.027878643317784352,0.010204330484154166,False,-0.03010497751662617,0.013433064473441208,0.226
loss10,combined_xgb,combined,60,500,-0.10868064378198669,-0.22138029760620648,-0.010081215479974452,False,-0.23206693145184493,-0.006817068427144872,0.0
loss10,topology_xgb,topology,120,500,0.017495446659512325,-0.010779462715244189,0.06844992352829443,False,-0.017717274464727564,0.0769713959062794,0.848
loss10,market_xgb,market,120,500,-0.10191877741024134,-0.20689413183562266,0.004468125555165714,False,-0.22967539360366132,0.008376672676139563,0.036
loss10,combined_xgb,market_xgb,120,500,-0.0044268857943373235,-0.02829460478147499,0.010860022639953582,False,-0.03265926171696918,0.015370644478237591,0.248
loss10,combined_xgb,combined,120,500,-0.10868064378198669,-0.20612927107794055,-0.006104907875148679,False,-0.22370694716943015,-0.0035342610875968208,0.004
loss075,topology_xgb,topology,20,500,0.021182479622856562,-0.004314681073864236,0.053705134573142035,False,-0.008205688058928835,0.064642927443254,0.952
loss075,market_xgb,market,20,500,-0.09980882507862848,-0.19848154697967246,-0.018690710860682202,False,-0.22808211207066756,-0.014849582225592852,0.004
loss075,combined_xgb,market_xgb,20,500,0.009748939978303811,-0.01007127808151327,0.03546034734762072,False,-0.013218404330207104,0.039063996416850495,0.85
loss075,combined_xgb,combined,20,500,-0.08647088048416754,-0.18454746566579636,-0.0059587985027983615,False,-0.20700180809975402,0.0008527226938072094,0.014
loss075,topology_xgb,topology,60,500,0.021182479622856562,-0.005815587386068649,0.06950714556424518,False,-0.01042041876645835,0.08636711436994074,0.904
loss075,market_xgb,market,60,500,-0.09980882507862848,-0.18729345700461494,-0.003034250000512171,False,-0.19965297230429174,0.002456667812874662,0.018
loss075,combined_xgb,market_xgb,60,500,0.009748939978303811,-0.009249948712498974,0.0403317317743206,False,-0.012704508218728832,0.04737068466678268,0.834
loss075,combined_xgb,combined,60,500,-0.08647088048416754,-0.16102121691474186,0.0022497321189363013,False,-0.17360967880467307,0.005249147885770801,0.034
loss075,topology_xgb,topology,120,500,0.021182479622856562,-0.00900787295461121,0.08173483721038902,False,-0.012158810519568585,0.09080988859299557,0.862
loss075,market_xgb,market,120,500,-0.09980882507862848,-0.18204804904393573,0.0024536279039103956,False,-0.20169619686861512,0.008204376748497336,0.032
loss075,combined_xgb,market_xgb,120,500,0.009748939978303811,-0.014748559925737396,0.04366516672617826,False,-0.01779647897031743,0.050053161656101255,0.772
loss075,combined_xgb,combined,120,500,-0.08647088048416754,-0.15611448186638513,0.003947167117704546,False,-0.1669244210021303,0.0069337346974718906,0.05
loss05,topology_xgb,topology,20,500,0.039964859184576984,-0.010190437297917783,0.09842865468669128,False,-0.015357508731493698,0.10428619599618398,0.924
loss05,market_xgb,market,20,500,-0.07425422802434734,-0.13980946830951277,-0.010590016485089072,False,-0.15234197230433277,-0.0021443235628810756,0.008
loss05,combined_xgb,market_xgb,20,500,0.01863107338759784,-0.007038001536870633,0.04795349113646876,False,-0.01256980689687752,0.05020737992627399,0.908
loss05,combined_xgb,combined,20,500,-0.05341958248639467,-0.11038082153181115,0.0028675870520859137,False,-0.11956715201596581,0.008202960452059847,0.04
loss05,topology_xgb,topology,60,500,0.039964859184576984,-0.027923137571392177,0.12488951138246371,False,-0.036596774519727364,0.1426485835146661,0.852
loss05,market_xgb,market,60,500,-0.07425422802434734,-0.14209855246325584,0.005263832060952242,False,-0.1490838169778653,0.013952286807634509,0.046
loss05,combined_xgb,market_xgb,60,500,0.01863107338759784,-0.009910604588040781,0.05689921886188333,False,-0.013296136749677556,0.061148693020431764,0.888
loss05,combined_xgb,combined,60,500,-0.05341958248639467,-0.10883832776791741,0.011728405640623541,False,-0.11551278686908036,0.016796996278946156,0.062
loss05,topology_xgb,topology,120,500,0.039964859184576984,-0.03583700922906744,0.13991593898386862,False,-0.043259505848735766,0.15337999965827506,0.774
loss05,market_xgb,market,120,500,-0.07425422802434734,-0.1459598192774667,0.010142619698234344,False,-0.15720373900755033,0.011315628830068045,0.054
loss05,combined_xgb,market_xgb,120,500,0.01863107338759784,-0.013676815158981623,0.05754094639658357,False,-0.01648893317262391,0.066594353419409,0.818
loss05,combined_xgb,combined,120,500,-0.05341958248639467,-0.10147263243172307,0.008191671158268,False,-0.1056589320907091,0.016796859767674362,0.064
