target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss10,VIX,0.01,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,350,68,129,0.0811500115928588,0.34517766497461927,0.16267942583732056,0.09268292682926829,53,48,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.05,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.1,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,1019,118,79,0.2362624623232089,0.5989847715736041,0.10378188214599825,0.25210643015521067,95,86,0.5957558554878133,0.2470931117882754,9
loss10,combined,0.01,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,331,58,139,0.07674472524924647,0.29441624365482233,0.14910025706940874,0.08625277161862528,57,50,0.5932272238199987,0.20953523492403028,9
loss10,combined,0.05,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,579,70,127,0.13424530489218642,0.3553299492385787,0.10785824345146379,0.14390243902439023,74,67,0.5932272238199987,0.20953523492403028,9
loss10,combined,0.1,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,828,99,98,0.19197774171110596,0.5025380710659898,0.10679611650485436,0.20554323725055432,73,63,0.5932272238199987,0.20953523492403028,9
loss10,combined_xgb,0.01,4510,197,0.04368070953436807,0.6603880841888706,0.07178026881677432,443,27,170,0.10271272895896127,0.13705583756345177,0.0574468085106383,0.10421286031042129,57,49,0.49080510549233597,0.16183027243654355,9
loss10,combined_xgb,0.05,4510,197,0.04368070953436807,0.6603880841888706,0.07178026881677432,714,81,116,0.16554602364943194,0.41116751269035534,0.1018867924528302,0.1762749445676275,81,66,0.49080510549233597,0.16183027243654355,9
loss10,combined_xgb,0.1,4510,197,0.04368070953436807,0.6603880841888706,0.07178026881677432,868,87,110,0.20125202875028983,0.4416243654822335,0.09109947643979058,0.21175166297117518,75,63,0.49080510549233597,0.16183027243654355,9
loss10,market,0.01,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,446,62,135,0.10340830048690007,0.3147208121827411,0.1220472440944882,0.11263858093126386,45,40,0.5860480432025895,0.20887842869678833,9
loss10,market,0.05,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,667,81,116,0.1546487363783909,0.41116751269035534,0.10828877005347594,0.16585365853658537,53,47,0.5860480432025895,0.20887842869678833,9
loss10,market,0.1,4510,197,0.04368070953436807,0.7592110265152807,0.178125932021353,902,115,82,0.2091351727335961,0.583756345177665,0.11307767944936087,0.22549889135254989,64,50,0.5860480432025895,0.20887842869678833,9
loss10,market_xgb,0.01,4510,197,0.04368070953436807,0.6622370568968095,0.07620715461111165,527,44,153,0.12218873174124739,0.2233502538071066,0.07705779334500876,0.12660753880266076,54,50,0.500614609935387,0.17911310604264927,9
loss10,market_xgb,0.05,4510,197,0.04368070953436807,0.6622370568968095,0.07620715461111165,741,61,136,0.17180616740088106,0.3096446700507614,0.07605985037406483,0.1778270509977827,57,45,0.500614609935387,0.17911310604264927,9
loss10,market_xgb,0.1,4510,197,0.04368070953436807,0.6622370568968095,0.07620715461111165,827,66,131,0.19174588453512637,0.3350253807106599,0.07390817469204927,0.19800443458980044,70,58,0.500614609935387,0.17911310604264927,9
loss10,topology,0.01,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,289,22,175,0.06700672385810341,0.1116751269035533,0.0707395498392283,0.06895787139689578,107,90,0.5679859387272534,0.18194569767552493,9
loss10,topology,0.05,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,544,72,125,0.12613030373290054,0.36548223350253806,0.11688311688311688,0.13658536585365855,146,122,0.5679859387272534,0.18194569767552493,9
