target,year,model,C,inner_ap,constant_fallback
loss10,2007,market,0.01,0.007670778559475979,False
loss10,2007,topology,0.01,0.01177988409740946,False
loss10,2007,combined,0.01,0.006626093832681713,False
loss10,2007,market_xgb,2.0,0.044408933617419946,False
loss10,2007,topology_xgb,2.0,0.017559939845178965,False
loss10,2007,combined_xgb,4.0,0.015001514304288904,False
loss10,2008,market,0.01,,False
loss10,2008,topology,0.01,,False
loss10,2008,combined,0.01,,False
loss10,2008,market_xgb,2.0,,False
loss10,2008,topology_xgb,2.0,,False
loss10,2008,combined_xgb,2.0,,False
loss10,2009,market,0.01,,False
loss10,2009,topology,0.01,,False
loss10,2009,combined,0.01,,False
loss10,2009,market_xgb,2.0,,False
loss10,2009,topology_xgb,2.0,,False
loss10,2009,combined_xgb,2.0,,False
loss10,2010,market,0.01,0.3453463563075964,False
loss10,2010,topology,0.01,0.03818718838601111,False
loss10,2010,combined,0.01,0.3464924167685102,False
loss10,2010,market_xgb,2.0,0.054914022860774916,False
loss10,2010,topology_xgb,2.0,0.08823441839866689,False
loss10,2010,combined_xgb,3.0,0.07007192263241269,False
loss10,2011,market,0.01,0.2883178610751316,False
loss10,2011,topology,1.0,0.05333615205746478,False
loss10,2011,combined,0.01,0.3021965511665358,False
loss10,2011,market_xgb,4.0,0.14281801117651943,False
loss10,2011,topology_xgb,4.0,0.10070877480618323,False
loss10,2011,combined_xgb,3.0,0.1511964313300199,False
loss10,2012,market,0.01,0.2716877786106723,False
loss10,2012,topology,1.0,0.04349595843923918,False
loss10,2012,combined,0.01,0.28232314044344564,False
loss10,2012,market_xgb,4.0,0.11426156674549105,False
loss10,2012,topology_xgb,3.0,0.0759305170415498,False
loss10,2012,combined_xgb,3.0,0.13163689460260164,False
loss10,2013,market,0.01,0.25575058124481254,False
loss10,2013,topology,1.0,0.0532191728884241,False
loss10,2013,combined,0.01,0.2628312226236985,False
loss10,2013,market_xgb,3.0,0.12473223523906718,False
loss10,2013,topology_xgb,3.0,0.10866895746846697,False
loss10,2013,combined_xgb,3.0,0.13880648391271416,False
loss10,2014,market,0.01,0.24008344339894883,False
loss10,2014,topology,1.0,0.06830039630652722,False
loss10,2014,combined,0.01,0.23330427341766616,False
loss10,2014,market_xgb,3.0,0.09564045757203704,False
loss10,2014,topology_xgb,2.0,0.10512836734133002,False
loss10,2014,combined_xgb,3.0,0.09313921189331581,False
loss10,2015,market,0.01,0.27297193498429956,False
loss10,2015,topology,1.0,0.07344187744912146,False
loss10,2015,combined,0.01,0.2690053759727222,False
loss10,2015,market_xgb,4.0,0.10205893599353319,False
loss10,2015,topology_xgb,3.0,0.10629371641442012,False
loss10,2015,combined_xgb,3.0,0.09830123205778149,False
loss10,2016,market,0.01,0.2823257332688544,False
loss10,2016,topology,1.0,0.07997074072993696,False
loss10,2016,combined,0.01,0.28706302035666087,False
loss10,2016,market_xgb,2.0,0.10655893996983154,False
loss10,2016,topology_xgb,3.0,0.1292112054106093,False
loss10,2016,combined_xgb,2.0,0.10986271850652482,False
loss10,2017,market,0.01,0.257903132016916,False
loss10,2017,topology,1.0,0.07283046157313047,False
loss10,2017,combined,0.01,0.26267906657032203,False
loss10,2017,market_xgb,2.0,0.09763004558589879,False
loss10,2017,topology_xgb,4.0,0.11278252760609941,False
loss10,2017,combined_xgb,2.0,0.10158804364728857,False
loss10,2018,market,0.01,0.2539851896182636,False
loss10,2018,topology,1.0,0.05958140305146904,False
loss10,2018,combined,0.01,0.25792335938927863,False
loss10,2018,market_xgb,3.0,0.08693560111361223,False
loss10,2018,topology_xgb,3.0,0.08938605865021355,False
loss10,2018,combined_xgb,4.0,0.09097904667390642,False
loss10,2019,market,0.01,0.25703940012192933,False
loss10,2019,topology,1.0,0.0584922656762689,False
loss10,2019,combined,0.01,0.2617983908901029,False
loss10,2019,market_xgb,4.0,0.09795888499397104,False
loss10,2019,topology_xgb,4.0,0.08892501879633012,False
loss10,2019,combined_xgb,4.0,0.10335418709920532,False
loss10,2020,market,0.01,0.26628303215038734,False
loss10,2020,topology,1.0,0.06419531914004806,False
loss10,2020,combined,0.01,0.27052731627113663,False
loss10,2020,market_xgb,2.0,0.10534906738420746,False
loss10,2020,topology_xgb,3.0,0.09949274409715991,False
loss10,2020,combined_xgb,3.0,0.1359334561847103,False
loss10,2021,market,0.01,0.2627655413420126,False
loss10,2021,topology,1.0,0.06485990933280984,False
loss10,2021,combined,0.01,0.26838128191598704,False
loss10,2021,market_xgb,4.0,0.13827489197404694,False
loss10,2021,topology_xgb,2.0,0.09550182561635931,False
loss10,2021,combined_xgb,3.0,0.17204705431509792,False
loss10,2022,market,1.0,0.11341955719839737,False
loss10,2022,topology,1.0,0.05461494972098677,False
loss10,2022,combined,1.0,0.10733428471763172,False
loss10,2022,market_xgb,2.0,0.13181032454077946,False
loss10,2022,topology_xgb,4.0,0.06218765566765618,False
loss10,2022,combined_xgb,2.0,0.07334985750043849,False
loss10,2023,market,1.0,0.06185809811299964,False
loss10,2023,topology,1.0,0.029925370577035065,False
loss10,2023,combined,1.0,0.04873095607258642,False
loss10,2023,market_xgb,4.0,0.05996088917279106,False
loss10,2023,topology_xgb,3.0,0.04412060417156836,False
loss10,2023,combined_xgb,2.0,0.038217126390357486,False
loss10,2024,market,1.0,0.06373037459650992,False
loss10,2024,topology,1.0,0.03437666821718344,False
loss10,2024,combined,1.0,0.050518280497813886,False
loss10,2024,market_xgb,2.0,0.056413880958600254,False
loss10,2024,topology_xgb,2.0,0.05328467483541066,False
loss10,2024,combined_xgb,2.0,0.04482618603456656,False
loss075,2007,market,0.01,0.012460940407652442,False
loss075,2007,topology,0.1,0.023875369908457907,False
loss075,2007,combined,0.01,0.012866804864702704,False
loss075,2007,market_xgb,4.0,0.016373064880029417,False
loss075,2007,topology_xgb,2.0,0.059923788534699894,False
loss075,2007,combined_xgb,2.0,0.017873511095288938,False
loss075,2008,market,0.01,,False
loss075,2008,topology,0.01,,False
loss075,2008,combined,0.01,,False
loss075,2008,market_xgb,2.0,,False
loss075,2008,topology_xgb,2.0,,False
loss075,2008,combined_xgb,2.0,,False
loss075,2009,market,1.0,0.008371150010021802,False
loss075,2009,topology,0.01,0.007522531274420777,False
loss075,2009,combined,1.0,0.007024229276309173,False
loss075,2009,market_xgb,4.0,0.00861087102519274,False
loss075,2009,topology_xgb,3.0,0.005956095348516161,False
loss075,2009,combined_xgb,2.0,0.006493373445901939,False
loss075,2010,market,0.01,0.2730788586515583,False
loss075,2010,topology,1.0,0.06270075360063126,False
loss075,2010,combined,0.01,0.2737124403274511,False
loss075,2010,market_xgb,2.0,0.07640378234140668,False
loss075,2010,topology_xgb,3.0,0.13683045915620679,False
loss075,2010,combined_xgb,2.0,0.10240444666635844,False
loss075,2011,market,0.01,0.29809964434246655,False
loss075,2011,topology,1.0,0.08556585524743589,False
loss075,2011,combined,0.01,0.30662375804647357,False
loss075,2011,market_xgb,2.0,0.09095402067560984,False
loss075,2011,topology_xgb,3.0,0.22554009971075162,False
loss075,2011,combined_xgb,2.0,0.12824356480568364,False
loss075,2012,market,0.01,0.2794698744373749,False
loss075,2012,topology,1.0,0.08021658182934531,False
loss075,2012,combined,0.01,0.27992680236990647,False
loss075,2012,market_xgb,2.0,0.11063922707792913,False
loss075,2012,topology_xgb,3.0,0.15285075266761866,False
loss075,2012,combined_xgb,2.0,0.15400471468845978,False
loss075,2013,market,0.01,0.2972730793858302,False
loss075,2013,topology,1.0,0.18030083954599394,False
loss075,2013,combined,0.01,0.29821459855414073,False
loss075,2013,market_xgb,2.0,0.16514198563853338,False
loss075,2013,topology_xgb,2.0,0.19271906457399857,False
loss075,2013,combined_xgb,2.0,0.17638962595988883,False
loss075,2014,market,0.01,0.299063222694338,False
loss075,2014,topology,1.0,0.13160375557702966,False
loss075,2014,combined,0.01,0.283333597909726,False
loss075,2014,market_xgb,3.0,0.15150172585079288,False
loss075,2014,topology_xgb,3.0,0.14688078264617876,False
loss075,2014,combined_xgb,2.0,0.15110212391642802,False
loss075,2015,market,0.01,0.3233987348472674,False
loss075,2015,topology,1.0,0.1395882874325769,False
loss075,2015,combined,0.01,0.31277728869688065,False
loss075,2015,market_xgb,3.0,0.158383589941443,False
loss075,2015,topology_xgb,3.0,0.16034824758152433,False
loss075,2015,combined_xgb,2.0,0.16502128757168308,False
loss075,2016,market,0.01,0.3228668198338031,False
loss075,2016,topology,1.0,0.1388108309449227,False
loss075,2016,combined,0.01,0.3198180929729947,False
loss075,2016,market_xgb,2.0,0.15483711531954866,False
loss075,2016,topology_xgb,2.0,0.17821371466099373,False
loss075,2016,combined_xgb,2.0,0.16899490522342941,False
loss075,2017,market,0.01,0.3026828556200339,False
loss075,2017,topology,1.0,0.12309301507536442,False
loss075,2017,combined,0.01,0.30052775206013366,False
loss075,2017,market_xgb,2.0,0.14605889457462434,False
loss075,2017,topology_xgb,3.0,0.16732925522857178,False
loss075,2017,combined_xgb,2.0,0.15722737835335054,False
loss075,2018,market,0.01,0.2829682175813808,False
loss075,2018,topology,1.0,0.1081143009827398,False
loss075,2018,combined,0.01,0.27914567672443724,False
loss075,2018,market_xgb,2.0,0.13640035450231636,False
