target,year,id,group,columns,C,history,kind,inner_ap,inner_n,inner_positives
loss10,2007,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,0.007670778559475979,730,6
loss10,2007,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,0.0050794386416521614,730,6
loss10,2007,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,0.004930846214940922,730,6
loss10,2007,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.01177988409740946,730,6
loss10,2007,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.00886726888977359,730,6
loss10,2007,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.008298181058715087,730,6
loss10,2007,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.006626093832681713,730,6
loss10,2007,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.005247078914406223,730,6
loss10,2007,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.005173313898773729,730,6
loss10,2007,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,0.044408933617419946,730,6
loss10,2007,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,0.025214318386378054,730,6
loss10,2007,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,0.025214318386378054,730,6
loss10,2007,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.017559939845178965,730,6
loss10,2007,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.01623932126649518,730,6
loss10,2007,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.016187072822023127,730,6
loss10,2007,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.014838091531614191,730,6
loss10,2007,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.014934634844051924,730,6
