model,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes
LR_base,4510,197,0.04368070953436807,0.6291862283899108,0.20494152886669137,509,59,138,0.11801530257361466,0.29949238578680204,0.10387323943661972,0.12594235033259424,105,97
LR_combined,4510,197,0.04368070953436807,0.6050012887492776,0.20425891491325893,398,50,147,0.09227915603987943,0.25380710659898476,0.11160714285714286,0.09933481152993348,103,98
LR_dynamic_combined,4510,197,0.04368070953436807,0.5907909154356855,0.16892146704465363,375,46,151,0.08694644099234872,0.233502538071066,0.10926365795724466,0.09334811529933482,109,102
LR_enhanced_base,4510,197,0.04368070953436807,0.3868201553325385,0.036991872571334815,457,33,164,0.10595872942267563,0.16751269035532995,0.0673469387755102,0.10864745011086474,92,80
LR_enhanced_combined,4510,197,0.04368070953436807,0.3980234469982734,0.03750628762041574,360,31,166,0.08346858335265477,0.15736040609137056,0.0792838874680307,0.08669623059866963,100,91
LR_topology,4510,197,0.04368070953436807,0.4409735176735192,0.04284113159972483,447,24,173,0.10364015766287966,0.1218274111675127,0.050955414012738856,0.10443458980044346,110,103
VIX,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73
XGB_base,4510,197,0.04368070953436807,0.670272026137483,0.07791428750835974,644,43,154,0.1493160213308602,0.2182741116751269,0.06259097525473072,0.1523281596452328,64,56
XGB_combined,4510,197,0.04368070953436807,0.6868768838395549,0.07943102380424064,660,48,149,0.15302573614653373,0.2436548223350254,0.06779661016949153,0.15698447893569845,86,75
XGB_enhanced_base,4510,197,0.04368070953436807,0.6528262448199929,0.07684416282629442,597,95,102,0.13841873405981917,0.48223350253807107,0.13728323699421965,0.15343680709534369,48,42
XGB_enhanced_combined,4510,197,0.04368070953436807,0.6839845538397078,0.07760292143793164,625,87,110,0.14491073498724785,0.4416243654822335,0.12219101123595505,0.15787139689578714,47,38
XGB_full_topology,4510,197,0.04368070953436807,0.6964018590943918,0.07517962217079632,365,21,176,0.08462786923255275,0.1065989847715736,0.054404145077720206,0.08558758314855876,116,103
XGB_topology,4510,197,0.04368070953436807,0.674142393260371,0.06792475799628353,428,22,175,0.09923487131926734,0.1116751269035533,0.04888888888888889,0.09977827050997783,107,101
constant,4510,197,0.04368070953436807,0.4248665055828148,0.04453824107986666,0,0,197,0.0,0.0,0.0,0.0,0,0
