model,reference,block_sessions,draws,ap_difference,lower95,upper95,symbol
sector_combined,sector_market,60,500,-0.02453260565774662,-0.05938557613199901,-0.007297574098562079,XLB
sector_topology,sector_market,60,500,-0.0637654050334136,-0.17634142602107528,-0.01270499246832983,XLB
sector_combined,sector_market,60,500,-0.003506948135987932,-0.01785882654592519,0.015479067678335998,XLE
sector_topology,sector_market,60,500,-0.028966143022155957,-0.06339466783329982,-0.004767206950183498,XLE
sector_combined,sector_market,60,500,-0.004848892426607132,-0.035345109212022524,0.023046556501847188,XLF
sector_topology,sector_market,60,500,-0.17308613487871372,-0.3543377568384271,-0.015725954266548617,XLF
sector_combined,sector_market,60,500,-0.007812875314827439,-0.08547561637899945,0.035430802241718656,XLI
sector_topology,sector_market,60,500,-0.1233851034388064,-0.334795398222206,-0.008491374671955196,XLI
sector_combined,sector_market,60,500,-0.013514956416123575,-0.034994934054661,0.016119071446171054,XLK
sector_topology,sector_market,60,500,-0.12560155391576347,-0.30357213749356543,-0.017149723307405565,XLK
sector_combined,sector_market,60,500,-0.033911714993135,-0.1306454200245513,0.009453386255071583,XLP
sector_topology,sector_market,60,500,-0.10928491631919746,-0.28917964105051736,-0.01337510470278456,XLP
sector_combined,sector_market,60,500,-0.009271568331995605,-0.04689441417705238,0.021692463947275413,XLU
sector_topology,sector_market,60,500,-0.08412042402206257,-0.29434657289894134,-0.0022140876197677736,XLU
sector_combined,sector_market,60,500,-0.005663532614313099,-0.011743608589463635,-0.00029958505817338245,XLV
sector_topology,sector_market,60,500,-0.08902268520092099,-0.24757936284899032,-0.014756194213023254,XLV
sector_combined,sector_market,60,500,-0.008558051225757729,-0.09196494573748608,0.0183867773466598,XLY
sector_topology,sector_market,60,500,-0.13651567175758328,-0.34389927936739567,-0.008080869169543085,XLY
