model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,symbol,sector_proxy
sector_combined,0.05,4510,197,0.04368070953436807,0.6130692123093798,0.07350612534655021,475,62,135,0.11013215859030837,0.3147208121827411,0.1154562383612663,0.11906873614190687,49,43,XLB,Materials
sector_market,0.05,4510,197,0.04368070953436807,0.7260307346106272,0.09803873100429683,559,75,122,0.12960816137259448,0.38071065989847713,0.11829652996845426,0.14057649667405764,42,36,XLB,Materials
sector_topology,0.05,4510,197,0.04368070953436807,0.4146077082507023,0.03427332597088322,403,25,172,0.09343844191977742,0.12690355329949238,0.05841121495327103,0.09490022172949002,70,66,XLB,Materials
sector_combined,0.05,4510,197,0.04368070953436807,0.6100009297825838,0.06042734164470367,568,43,154,0.13169487595641086,0.2182741116751269,0.07037643207855974,0.13547671840354766,53,44,XLE,Energy
sector_market,0.05,4510,197,0.04368070953436807,0.6491977388629112,0.0639342897806916,566,43,154,0.13123116160445167,0.2182741116751269,0.07060755336617405,0.13503325942350333,47,41,XLE,Energy
sector_topology,0.05,4510,197,0.04368070953436807,0.4224296513550698,0.03496814675853564,439,39,158,0.1017853002550429,0.19796954314720813,0.08158995815899582,0.10598669623059867,96,90,XLE,Energy
sector_combined,0.05,4510,197,0.04368070953436807,0.7266356817601372,0.20790350108853703,452,62,135,0.10479944354277765,0.3147208121827411,0.12062256809338522,0.1139689578713969,62,58,XLF,Financials
sector_market,0.05,4510,197,0.04368070953436807,0.7410484887502192,0.21275239351514416,553,79,118,0.1282170183167169,0.4010152284263959,0.125,0.1401330376940133,71,61,XLF,Financials
sector_topology,0.05,4510,197,0.04368070953436807,0.4630376114709278,0.039666258636430446,345,17,180,0.07999072571296081,0.08629441624365482,0.04696132596685083,0.0802660753880266,66,61,XLF,Financials
sector_combined,0.05,4510,197,0.04368070953436807,0.7615966838539135,0.15983255850138328,467,92,105,0.1082773011824716,0.467005076142132,0.16457960644007155,0.12394678492239468,75,60,XLI,Industrials
sector_market,0.05,4510,197,0.04368070953436807,0.7612636098396891,0.16764543381621072,513,85,112,0.11894273127753303,0.43147208121827413,0.14214046822742474,0.13259423503325943,50,41,XLI,Industrials
sector_topology,0.05,4510,197,0.04368070953436807,0.5179465692788066,0.04426033037740432,321,3,194,0.0744261534894505,0.015228426395939087,0.009259259259259259,0.07184035476718403,100,97,XLI,Industrials
sector_combined,0.05,4510,197,0.04368070953436807,0.7006512008907082,0.1478766817097648,448,78,119,0.10387201483885926,0.39593908629441626,0.1482889733840304,0.11662971175166297,48,41,XLK,Technology
sector_market,0.05,4510,197,0.04368070953436807,0.7373458355744231,0.1613916381258884,485,83,114,0.11245073035010433,0.4213197969543147,0.14612676056338028,0.12594235033259424,57,50,XLK,Technology
sector_topology,0.05,4510,197,0.04368070953436807,0.4330821351103558,0.03579008421012491,476,34,163,0.11036401576628797,0.17258883248730963,0.06666666666666667,0.1130820399113082,74,67,XLK,Technology
sector_combined,0.05,4510,197,0.04368070953436807,0.6435013493616867,0.11426915735148929,451,65,132,0.10456758636679805,0.3299492385786802,0.12596899224806202,0.11441241685144124,38,30,XLP,Consumer staples
sector_market,0.05,4510,197,0.04368070953436807,0.6716784694130953,0.1481808723446243,481,76,121,0.11152330164618594,0.38578680203045684,0.13644524236983843,0.12350332594235033,38,30,XLP,Consumer staples
sector_topology,0.05,4510,197,0.04368070953436807,0.49106526014492835,0.038895956025426844,391,30,167,0.09065615580802226,0.15228426395939088,0.07125890736342043,0.09334811529933482,78,73,XLP,Consumer staples
sector_combined,0.05,4510,197,0.04368070953436807,0.6120605747468696,0.10888946669771696,362,56,141,0.08393229770461395,0.28426395939086296,0.1339712918660287,0.09268292682926829,49,44,XLU,Utilities
sector_market,0.05,4510,197,0.04368070953436807,0.5968156711912163,0.11816103502971256,513,56,141,0.11894273127753303,0.28426395939086296,0.0984182776801406,0.1261640798226164,43,40,XLU,Utilities
sector_topology,0.05,4510,197,0.04368070953436807,0.41443705195366154,0.03404061100764999,329,10,187,0.07628101089728727,0.050761421319796954,0.029498525073746312,0.07516629711751663,76,71,XLU,Utilities
sector_combined,0.05,4510,197,0.04368070953436807,0.7336643673182599,0.11911472155361326,517,69,128,0.11987015998145142,0.350253807106599,0.11774744027303755,0.12993348115299336,40,35,XLV,Health care
sector_market,0.05,4510,197,0.04368070953436807,0.7503722072685459,0.12477825416792636,548,74,123,0.12705773243681892,0.3756345177664975,0.1189710610932476,0.13791574279379157,47,42,XLV,Health care
sector_topology,0.05,4510,197,0.04368070953436807,0.43988249431243753,0.03575556896700537,660,22,175,0.15302573614653373,0.1116751269035533,0.03225806451612903,0.15121951219512195,63,59,XLV,Health care
sector_combined,0.05,4510,197,0.04368070953436807,0.7431822809332194,0.16261765879192314,584,92,105,0.1354045907720844,0.467005076142132,0.13609467455621302,0.14988913525498893,51,44,XLY,Consumer discretionary
sector_market,0.05,4510,197,0.04368070953436807,0.7388793883678314,0.17117571001768087,625,88,109,0.14491073498724785,0.4467005076142132,0.12342215988779803,0.1580931263858093,39,31,XLY,Consumer discretionary
sector_topology,0.05,4510,197,0.04368070953436807,0.38488291212613035,0.03466003826009757,488,18,179,0.11314630187804313,0.09137055837563451,0.03557312252964427,0.11219512195121951,98,92,XLY,Consumer discretionary
